gene	TCGA-DD-AA3A-01A	TCGA-CC-A8HV-01A	TCGA-2Y-A9H2-01A	TCGA-DD-AAD8-01A	TCGA-DD-A3A7-01A	TCGA-FV-A3I0-01A	TCGA-WX-AA44-01A	TCGA-G3-A25T-01A	TCGA-WJ-A86L-01A	TCGA-BC-A10Q-01A	k_value	p_value	groupA_median	groupB_median	fc_median
RP11-15J22.8	0	12.5670260101558	0	0	0	0	0	11.0732393793767	12.9089556071151	10.1636894854602	8	0.346521711706107	0	0	0
MYADML2	11.5655372334107	0	10.5768434695388	0	0	10.8785023673353	8.47198934798848	10.4474116926976	9.73994411194789	9.73058386126726	9	0.525808953452939	9.73994411194789	8.47198934798848	1.26795476395941
DNM3-IT1	0	10.7679819411182	10.4035217860235	11.4230316898983	0	12.0969402777419	12.1021613299391	0	0	0	12	1	0	10.7679819411182	-10.7679819411182
PHEX	12.586869324683	11.9265617011748	10.6403995910331	8.9994020569886	11.6581728165826	12.9272100825361	13.8983942405118	13.0823927570705	14.6772395919065	11.8117419617405	2	0.0317460317460317	11.8117419617405	12.9272100825361	-1.1154681207956
KRT8P47	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
MOGAT2	12.6394605555398	14.7034266127921	16.3113848391676	18.759607051635	15.9431782864405	7.13623057802314	15.6170187530895	13.8985475824343	18.8071725971687	0	17	0.420634920634921	16.3113848391676	14.7034266127921	1.6079582263755
RP11-411B10.8	12.5129424153583	12.0552199987019	10.9539447547292	0	0	9.47946935793862	10.0689754006549	0	0	9.33083787745922	17	0.388629492740927	9.33083787745922	9.47946935793862	-0.148631480479398
PFN2	17.188671626672	18.5886353816262	17.5747981227581	15.5610876379348	18.4822080712941	15.5677675653169	13.8159869734773	16.5635053693358	14.1603016968417	14.6015710957013	23	0.0317460317460317	15.5610876379348	16.5635053693358	-1.002417731401
RP11-189E14.5	0	0	0	0	0	0	0	9.50767086231617	10.0213467289386	0	7.5	0.179712494879	0	0	0
CASC23	0	0	0	0	9.88204403233849	0	0	0	0	0	15	0.423710797166793	0	0	0
DNM1P41	8.66251814667713	0	0	0	0	0	0	0	8.71006634527981	0	12	1	0	0	0
RP11-640I15.1	13.0190805367871	12.5613308453197	13.8745620049767	13.8946105991355	13.333409214132	11.5690954928238	12.5740794470545	9.74662580529901	12.2595099825159	9.83638591024661	24	0.0158730158730159	13.0190805367871	12.5613308453197	0.4577496914674
RMND5A	17.1913298090836	17.8943699059912	17.4436744197487	19.2574392994704	17.2602953204004	16.8886297571208	18.9873547708567	18.1602338500784	19.2912653132697	17.9733786032502	8	0.420634920634921	17.9733786032502	17.8943699059912	0.079008697258999
AC092301.3	13.5989411166575	13.404177733922	13.154981954258	11.4749409066769	0	11.8858855576056	11.1543940292032	10.3259879351568	12.646713739506	9.41683731349233	18	0.30952380952381	12.646713739506	11.1543940292032	1.4923197103028
SNORA40	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP11-114O18.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RAD23A	20.1810438427296	20.5399477408873	19.7291241301941	20.1727236783091	20.8128986634182	20.5523569125093	19.4324922574712	19.8279522599864	19.7842960351393	20.4988421151941	16	0.547619047619048	20.1727236783091	20.5399477408873	-0.367224062578199
RP11-642P15.1	12.0967406094058	11.673803665053	10.5726459506348	12.8814460750863	8.86367715209883	12.3441329893519	11.8564268492978	11.4822105831698	12.5941113704453	10.822342948895	10	0.69047619047619	12.0967406094058	11.673803665053	0.422936944352799
U1	0	0	0	12.6857595732833	0	0	0	0	0	0	15	0.423710797166793	0	0	0
OR2D2	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
SERPINB11	0	7.55246767637232	0	0	0	0	0	0	0	0	15	0.423710797166793	0	0	0
RP1-278O22.2	0	10.887497743486	0	0	0	0	0	9.39466235736072	0	0	13	1	0	0	0
RP11-725G5.2	0	8.66789505493538	10.3007896526269	14.6773024468567	11.343966562532	0	10.584924431667	13.1244828324221	13.4918753867351	11.0680135628158	10.5	0.753298033462838	11.0680135628158	10.584924431667	0.4830891311488
SIN3B	16.932066464367	17.7893590962091	16.5031206614717	16.7304410087823	16.5229764601388	16.875185586739	16.4097712796868	15.9423544587292	16.9725924020809	16.5481874940183	16	0.547619047619048	16.7304410087823	16.5229764601388	0.2074645486435
AC007611.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
LINC00705	11.770225514608	8.6311429108963	0	0	0	11.1799705882815	10.9629014217579	12.3814789867626	8.65114436541727	10.2243490675813	4	0.0906883661712042	8.65114436541727	10.9629014217579	-2.31175705634063
RPL7P17	0	0	0	0	0	9.64296475426758	11.2319438311839	9.40457677370105	0	0	5	0.072005657555498	0	9.40457677370105	-9.40457677370105
TLL2	10.2841854330988	9.99013137432057	9.847972754769	9.06180358367952	11.5857872968481	11.3967063768182	9.7401163774253	10.4954932298802	8.42799624543514	10.2485065090334	13	1	9.847972754769	10.4954932298802	-0.6475204751112
CTC-360J11.7	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP11-344N17.8	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
CTSA	19.8377969149248	20.3832710932418	19.8306978363674	20.3173188396691	20.3803250122522	20.6798255799045	20.3603085470811	21.1578246928778	20.2072105600826	20.8171395049969	5	0.150793650793651	20.2072105600826	20.3832710932418	-0.176060533159198
HCG4P5	18.4439200177181	17.1413107649668	18.0676900729479	16.710936188427	16.4657197418093	13.8293104286436	18.2101728488194	12.7542062384229	18.5510289213148	14.791442378821	16	0.547619047619048	18.0676900729479	16.4657197418093	1.6019703311386
IL32	20.758710011865	18.8287573082819	21.0117813141168	22.2857381473234	24.6433049630278	20.9765355804587	22.047442368997	21.3332861797514	21.9969475353262	21.2620846392699	11	0.841269841269841	21.2620846392699	21.3332861797514	-0.0712015404814998
RP11-43F13.3	17.9596558853181	12.840460568713	15.579024823892	0	10.725768050984	14.4414585756168	13.1355746084538	16.1700344672917	16.2131235801555	17.4684445252448	7	0.30952380952381	16.2131235801555	13.1355746084538	3.0775489717017
RP11-927P21.2	11.2402122438961	11.2678131690089	0	10.9233228711798	0	10.0131188160972	11.6023708235997	12.358246668344	13.0947994774729	9.86441942762194	6	0.208690443136964	10.9233228711798	11.2678131690089	-0.3444902978291
ASS1P7	0	0	9.77371869383376	0	0	0	0	0	10.1580826036788	0	12	1	0	0	0
PRKRIRP4	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
PTPN4	15.7209036373615	14.6711855721648	14.885316251115	15.1443186077022	13.5692118485435	14.9102386630318	14.6230690822514	14.716386995746	15.4214402745448	14.7914487977494	13	1	15.1443186077022	14.6711855721648	0.473133035537399
NUCB2	17.6970113801361	17.4502003104135	16.5693454946892	19.0209013789411	18.6944485885629	18.3553829929901	18.3553424463245	16.8882825567463	18.0506717213594	17.0575425236658	14	0.841269841269841	17.6970113801361	18.3553424463245	-0.658331066188399
RP11-334C17.6	16.6975350649917	16.2921922925021	16.4129195852405	14.2106366444068	17.9223384195502	14.2997743104349	15.3049606558142	16.5635053693358	14.3122969107594	15.1508913099386	18	0.30952380952381	15.1508913099386	16.2921922925021	-1.1413009825635
SERPINB12	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP11-709D24.5	10.2563365912208	0	0	0	0	0	0	9.20603256067867	8.72128032154409	0	11	0.797169693133742	0	0	0
RP11-369E15.3	10.6658834651098	0	0	0	0	0	11.0279772751512	10.1996161647069	11.7130888613592	0	7	0.239316541221495	0	0	0
GGT3P	0	7.98017107087107	0	8.63343550222168	0	11.8068058506677	0	0	8.99732364813046	0	10.5	0.72408166091539	0	0	0
TMEM143	16.3512669345831	15.4437107333436	15.9463206361486	17.7943594854639	16.3234350709225	15.4722126890527	16.3328350498351	17.1320823379554	15.9891501674218	17.6050480619371	11	0.841269841269841	16.3512669345831	16.3234350709225	0.0278318636606016
DACH1	9.55997197215391	11.1712598307953	10.543868324518	10.9787041201778	9.09745062328376	11.8748703588371	11.4233761226689	11.8288152591493	9.8297019772867	11.0564612188372	4	0.0952380952380952	10.543868324518	11.4233761226689	-0.8795077981509
RP11-19N8.3	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
Metazoa_SRP	11.2299481684001	0	0	0	0	0	11.5921058023879	0	0	0	12	1	0	0	0
COLCA1	13.9133552474755	13.9042562919609	12.9731536891056	10.8672643090186	13.7203897324876	12.648880900659	12.2241922055969	15.9559856038432	11.6466791540032	14.7825865219697	12	1	12.9731536891056	13.7203897324876	-0.747236043382001
CTC-273B12.7	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RN7SL560P	11.325067061406	0	0	0	0	0	0	0	0	0	15	0.423710797166793	0	0	0
BMP2KL	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RNU6-820P	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP11-1007J8.1	12.2399140159188	11.6827043876615	11.3181325135625	0	0	11.4272834710102	0	0	12.2875682326494	10.2790699485591	13	1	11.3181325135625	0	11.3181325135625
FGF23	0	0	0	0	0	14.5242036730754	0	11.4309007855544	0	9.75637394384453	5	0.072005657555498	0	0	0
RP11-638L3.4	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
SERTAD2	17.1309495116277	17.4034013020849	16.4637829433646	17.7776621739092	17.1815179525106	18.1396296748724	17.5201047690978	16.6303225102266	17.9788179618921	16.2657456535681	10	0.69047619047619	17.1309495116277	17.4034013020849	-0.2724517904572
AC104012.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
ST3GAL6	15.1471577807998	16.8334202617925	14.8397413367289	17.9472106052968	15.949069271068	16.8377814053045	16.5432719269641	15.132569987845	16.0173674216194	13.0604378278013	14	0.841269841269841	15.1471577807998	16.5432719269641	-1.3961141461643
RP11-861E21.1	15.8834957814925	12.0045447070497	13.9615139938706	0	0	12.748897212611	0	11.5104695622012	0	0	17	0.372748070418113	0	11.5104695622012	-11.5104695622012
AC010739.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
BX649553.3	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
PKP2	15.7493418957132	15.1882224374429	14.8645967205967	16.6119775073154	12.4093469558054	14.9136662562006	15.3501293808723	14.2599429105149	18.0587598581286	14.0867794042564	13	1	15.7493418957132	14.9136662562006	0.835675639512601
RP11-809N15.2	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RNU6-453P	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
TRIM51HP	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
CTB-13F3.1	15.8885650674596	15.3567604905652	16.2035512394076	15.6221600234968	16.6291829793554	14.3127951607494	12.0287851963117	13.521593286981	14.2988468567333	13.4050142562717	25	0.00793650793650794	15.6221600234968	14.3127951607494	1.3093648627474
RP11-70F11.2	0	0	0	0	0	0	0	10.5325792940098	0	0	10	0.423710797166793	0	0	0
AP005242.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
KRT1	0	0	8.75438671825953	0	0	10.1834035807943	9.45247965367093	0	16.6593677770306	7.71825038811683	4	0.0746391830556084	7.71825038811683	0	7.71825038811683
CTD-2591A1.1	10.9296593149613	0	8.78774677228209	11.9748120948395	0	9.48065412351056	10.0701607234863	0	9.17173218950845	7.75153001704566	13	1	9.17173218950845	0	9.17173218950845
AC026185.1	0	0	0	0	0	0	0	0	11.9739778328046	0	10	0.423710797166793	0	0	0
PDLIM1P3	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RNU6-1273P	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RNA5SP218	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP5-1025A1.3	13.6547650914038	13.4193627442184	14.8619363316918	10.7534907284636	13.1915625732724	15.1993873597043	12.4322428102462	0	11.7027500086304	0	18	0.294801991933705	11.7027500086304	13.1915625732724	-1.488812564642
RAET1K	12.7282956295544	12.5080154243812	11.3135615775445	12.4852992792675	10.6028011332003	12.0599546242873	11.8428393335761	11.5989768011901	12.4349705637272	11.4258632303742	15	0.69047619047619	12.4349705637272	11.8428393335761	0.5921312301511
RP11-173L6.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP11-343C2.9	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
AP002495.1	14.3466001814996	0	13.009620020602	0	0	15.118677766773	14.7088758311465	12.8801159563683	14.3942618406719	13.9698760108657	3	0.0570079424648854	13.9698760108657	12.8801159563683	1.0897600544974
AL360178.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
AC007682.3	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
CTD-3099C6.5	0	0	0	0	0	0	0	9.12352154492403	0	0	10	0.423710797166793	0	0	0
Y_RNA	0	0	12.3596620693511	0	0	0	0	0	0	0	15	0.423710797166793	0	0	0
DDX11L10	8.62185856596755	0	0	0	9.74159561126597	9.39244631673886	0	0	10.2520017338067	8.24620613628263	10	0.655836496590659	8.24620613628263	0	8.24620613628263
SLC45A4	15.9413154983175	17.1689794535077	17.1777121571766	13.1703815007585	12.2268099424427	16.2850937322232	17.3808350507316	15.4101790944131	12.7028686976156	14.6452617000823	12	1	14.6452617000823	16.2850937322232	-1.6398320321409
AP006222.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP11-789C7.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RNA5SP128	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
MTRF1	15.2882170371921	15.3158285848971	14.9059533422098	16.9869580048132	16.2557939019674	14.491189269785	15.2585885537863	14.5949972782981	15.2972347942938	15.1510165024046	21	0.0952380952380952	15.2882170371921	15.2585885537863	0.0296284834057996
RP11-63P12.7	10.8738127519991	16.1860775164775	11.5364436278655	14.3634311462853	18.2235847482514	12.6453752030364	12.8204967027299	11.406968751764	12.9208936744192	0	18	0.30952380952381	11.5364436278655	12.8204967027299	-1.2840530748644
RP11-212F11.1	0	0	0	0	0	0	0	9.73656635923426	0	0	10	0.423710797166793	0	0	0
uc_338	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
MTND5P14	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
IGSF11-AS1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
U8	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
AC055736.4	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP11-265E18.1	13.1552776007277	13.5978855472069	13.9701265858648	13.4756400874519	14.1069938421462	10.7581339928995	13.8070177589566	9.52055370794376	12.6180503689287	11.608911585223	22	0.0555555555555556	13.1552776007277	13.5978855472069	-0.4426079464792
AC009133.15	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RARRES2P7	0	0	0	0	0	0	0	0	12.5433602440423	0	10	0.423710797166793	0	0	0
MTND2P28	22.3383489437306	23.4432483449931	23.4114403476142	23.245393028999	19.9097950655681	22.8062594518583	23.9451925540231	18.9697862231374	24.583221216493	21.0208863046069	12	1	23.245393028999	22.8062594518583	0.439133577140701
FMO7P	12.1061916004504	0	0	13.7889303286633	0	0	0	0	12.6391812446994	0	15	0.607235543774111	12.1061916004504	0	12.1061916004504
ESM1	15.2857482578306	15.5473660036536	15.436675754952	17.2445171719142	15.0718686257971	16.2957001904407	15.3904362381687	14.6861866461316	16.5712546966706	16.8511251236462	11	0.841269841269841	16.5712546966706	15.3904362381687	1.1808184585019
RP11-76I23.7	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
AC006458.3	0	0	0	0	0	0	0	0	10.066969075744	0	10	0.423710797166793	0	0	0
RP11-379J13.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RWDD2A	15.8822622019671	16.4628001666206	14.6613497278354	15.5824069237844	15.0797249314995	15.6543725746164	15.4974808592308	15.6244132648733	16.8545491379577	14.4347372908749	12	1	15.5824069237844	15.6244132648733	-0.0420063410889
LINC00592	9.34321565168577	9.37078577434724	12.7045627534588	0	11.4632214418675	14.2424564841802	0	13.7813794523678	9.39080737452435	12.4239420938753	7.5	0.345741825860727	9.39080737452435	11.4632214418675	-2.07241406734315
ENTPD1-AS1	11.2160684511476	9.24545298312427	11.0046092514901	11.4395138420949	10.4637323280247	9.69979735716146	10.8739777239153	10.6826193595794	10.8045010507028	10.9346115542719	16	0.547619047619048	11.0046092514901	10.4637323280247	0.540876923465401
LINC01181	0	0	0	0	0	10.0234507879317	0	0	0	0	10	0.423710797166793	0	0	0
AC096670.3	10.9467241266706	9.97503941396911	9.6107535470971	10.3081673220768	0	8.9839857247696	8.98919767198555	11.9127202869005	11.1318035133801	9.24969197264009	12	1	10.3081673220768	8.98919767198555	1.31896965009125
RP11-569A11.2	0	0	11.520551382581	0	0	0	0	0	0	0	15	0.423710797166793	0	0	0
PPIAP6	13.2135095518643	12.4338757310474	0	12.0892979159243	15.3351101901205	13.9855528892634	10.7691206996083	13.6399491203856	13.0388005954189	11.029948036331	12	1	12.0892979159243	13.6399491203856	-1.5506512044613
RP11-760D2.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
SCFD2	16.9315049730248	15.9243634428391	16.3046461331911	16.5594583264083	16.5400543812793	17.1259892772593	16.4115412784508	16.03342056443	15.8669719773531	15.8308344345279	17	0.420634920634921	16.3046461331911	16.4115412784508	-0.106895145259703
GFOD1-AS1	0	0	10.6576668223352	0	0	0	0	0	12.6267138558663	0	12	1	0	0	0
YWHAB	20.424211907692	20.361799184152	20.5601305351678	19.917195214477	20.7986151320335	20.9574134946657	19.6900260684941	21.015696791388	19.6752825631303	21.1632363125895	10	0.69047619047619	20.424211907692	20.7986151320335	-0.374403224341499
ZNRD1-AS1_2	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
TMEM155	9.39376512984778	10.6425262706676	10.0558889432267	8.49362849896675	0	9.58064797109996	11.8697726101669	8.34449525254434	9.44135933824478	8.43408872384642	12	1	9.39376512984778	9.58064797109996	-0.18688284125218
RP11-624L4.1	9.70795639728391	13.0194185839213	7.37784473953528	14.6180704907466	10.4139683290049	12.5229759156238	9.6552741595353	8.82776507491336	10.0771585020594	8.33396344268923	17	0.420634920634921	9.70795639728391	10.4139683290049	-0.70601193172099
TOMM40	19.2815880224332	19.2382801823246	18.6595654645169	19.5548821032829	20.5725687170319	19.210444900398	18.8676059761489	19.907280706813	19.1080622523473	19.2340555731263	17	0.420634920634921	19.2340555731263	19.2382801823246	-0.00422460919829959
RP5-1153D9.5	9.0861533904134	11.9188363295577	10.7472502329783	10.7672885689091	0	9.85715916291299	0	0	11.1318035133801	0	17.5	0.332111977901723	10.7472502329783	0	10.7472502329783
PRSS48	0	9.44875025367664	0	0	0	9.19364426026726	0	8.95537489161577	0	0	11	0.797169693133742	0	8.95537489161577	-8.95537489161577
RP11-544M22.3	13.5193558906947	11.9622443519374	13.9192058805555	14.6172919791005	0	0	0	0	12.9821127436025	11.5580042450221	20.5	0.105997548424946	13.5193558906947	0	13.5193558906947
ADTRP	12.6721522768346	10.1862090905142	12.3351245946738	13.5566488766984	12.1724730345633	12.1224330064354	12.297543258923	11.407489921623	16.5088181733244	8.97612591576545	16	0.547619047619048	12.6721522768346	12.1224330064354	0.5497192703992
NDUFAF2	18.2856898897247	18.5536156850731	17.4846602814572	18.7794384685266	20.5242677173899	17.9582616516692	17.2567948579631	18.6435109771716	17.3572046194315	17.9764701279212	20	0.150793650793651	17.9764701279212	18.5536156850731	-0.577145557151901
SEPSECS	15.9081009298551	16.456383417526	17.016931293562	17.8462013668732	17.0724993938998	15.6492957483265	16.9899074821365	15.8359963442736	17.6967862988297	15.9508466568506	18	0.30952380952381	17.016931293562	16.456383417526	0.560547876036001
RP11-435I10.5	10.0619100465482	0	0	0	0	0	0	0	0	0	15	0.423710797166793	0	0	0
RP3-522J7.7	12.1752747277072	11.7879455473993	12.5750789492746	12.5951256060729	0	9.36429718673893	9.95374681218335	0	11.2232302598069	10.2144702058917	20.5	0.1160739433099	12.1752747277072	9.36429718673893	2.81097754096827
DCDC2C	0	8.60256568603916	0	0	0	0	0	0	0	8.19940877222937	13	1	0	0	0
CWC27	18.0546703389307	16.9768482500199	16.896017479657	16.729947980889	17.6246159711258	17.8315657492155	16.284450057364	17.3463614451244	15.9529043056913	17.3069756319981	15	0.69047619047619	16.896017479657	17.3463614451244	-0.4503439654674
RNA5SP37	12.3468079154767	12.3744148962719	13.5945242068752	14.0295812606012	0	0	12.7090374375773	0	13.3943288383624	13.5548684823047	15	0.672335808365955	13.5548684823047	0	13.5548684823047
CTD-2517M22.16	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP11-430C7.4	13.4127208945725	13.8877549844551	13.0756698544822	0	0	13.725369782982	10.3165797384979	0	12.323030568097	10.5773566682336	14	0.832518812679276	12.323030568097	10.3165797384979	2.0064508295991
RP11-311D14.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
FO082796.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
SMARCE1P1	0	9.18709984359823	0	9.84154780373829	0	8.93207336728817	0	0	0	0	16	0.440686016488678	0	0	0
RP11-416A17.6	12.1327274228342	10.8388781513246	11.7957261173331	13.078571375636	0	11.1681738823967	10.1740183900468	10.3449813386177	9.85969555764135	11.0193908990253	18	0.30952380952381	11.7957261173331	10.3449813386177	1.4507447787154
RP11-181C3.1	11.6338907782575	13.7391569924764	14.6963358296646	15.2339760758758	13.170348371985	11.8209793334087	14.2181958867678	13.4564653500614	14.211691405743	13.9937459389837	13	1	14.211691405743	13.4564653500614	0.7552260556816
RP13-349O20.2	13.9766708138119	0	14.2675998323113	0	0	14.0966932583207	11.8798235977929	13.6356192066161	12.1500935653936	13.7254738824357	9	0.525808953452939	13.7254738824357	11.8798235977929	1.8456502846428
CTD-2004A9.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP11-1046B16.3	0	10.3559530774874	0	12.0105533471504	0	0	11.6899673461108	12.1828716514043	10.3759895614704	11.5359431972181	6.5	0.235861310334268	10.3759895614704	10.3559530774874	0.0200364839830005
LHX5	0	0	0	0	10.4669580676261	7.53914199552286	0	0	0	0	13	1	0	0	0
MYOM2	14.9667869835357	9.19807075107447	14.474833829359	11.0740259817081	8.70820878723108	14.8309268562901	14.1933331925667	15.9883587111543	8.63433673804436	13.4352417444535	10	0.69047619047619	13.4352417444535	14.1933331925667	-0.7580914481132
