NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
P53 SIGNALING PATHWAY	P53 SIGNALING PATHWAY		71	0.22977632	0.7687563	0.76144576	0.7967288	1.0	1557	tags=15%, list=8%, signal=17%	
CYSTEINE AND METHIONINE METABOLISM	CYSTEINE AND METHIONINE METABOLISM		46	0.22357641	0.76674545	0.8093995	0.7883558	1.0	5630	tags=35%, list=29%, signal=49%	
N-GLYCAN BIOSYNTHESIS	N-GLYCAN BIOSYNTHESIS		49	0.24728033	0.73658043	0.7772727	0.8280187	1.0	4283	tags=29%, list=22%, signal=37%	
PPAR SIGNALING PATHWAY	PPAR SIGNALING PATHWAY		75	0.1773613	0.73366123	0.8695652	0.82067984	1.0	2614	tags=16%, list=13%, signal=18%	
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM		32	0.24784803	0.7229266	0.8101266	0.8268704	1.0	4528	tags=38%, list=23%, signal=49%	
LEGIONELLOSIS	LEGIONELLOSIS		55	0.21553488	0.7076482	0.82790697	0.83914614	1.0	2884	tags=20%, list=15%, signal=23%	
PROTEIN EXPORT	PROTEIN EXPORT		23	0.27893928	0.6940555	0.7826087	0.8485752	1.0	4240	tags=35%, list=22%, signal=44%	
ONE CARBON POOL BY FOLATE	ONE CARBON POOL BY FOLATE		18	0.2498155	0.6726085	0.8527316	0.8685899	1.0	5304	tags=44%, list=27%, signal=61%	
RIBOSOME	RIBOSOME		131	0.26698616	0.66434085	0.7373949	0.8681641	1.0	3285	tags=27%, list=17%, signal=32%	
GLYCOSPHINGOLIPID BIOSYNTHESIS - LACTO AND NEOLACTO SERIES	GLYCOSPHINGOLIPID BIOSYNTHESIS - LACTO AND NEOLACTO SERIES		27	0.18776217	0.6434492	0.93510324	0.88537186	1.0	4301	tags=26%, list=22%, signal=33%	
TASTE TRANSDUCTION	TASTE TRANSDUCTION		82	0.17813395	0.6433199	0.64285713	0.87395644	1.0	1897	tags=11%, list=10%, signal=12%	
PATHOGENIC ESCHERICHIA COLI INFECTION	PATHOGENIC ESCHERICHIA COLI INFECTION		54	0.18092659	0.63078344	0.9232614	0.87788385	1.0	3886	tags=26%, list=20%, signal=32%	
IL-17 SIGNALING PATHWAY	IL-17 SIGNALING PATHWAY		91	0.14902955	0.53103524	0.9884393	0.9530549	1.0	4357	tags=23%, list=22%, signal=30%	
