NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MATURITY ONSET DIABETES OF THE YOUNG	MATURITY ONSET DIABETES OF THE YOUNG		26	0.37697062	1.1512507	0.30097088	1.0	0.964	6458	tags=46%, list=33%, signal=69%	
GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS	GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS		25	0.39389437	1.1427041	0.30989012	1.0	0.967	2831	tags=28%, list=15%, signal=33%	
ABC TRANSPORTERS	ABC TRANSPORTERS		45	0.3179585	1.1400688	0.2414966	1.0	0.967	7958	tags=47%, list=41%, signal=79%	
CENTRAL CARBON METABOLISM IN CANCER	CENTRAL CARBON METABOLISM IN CANCER		69	0.29697824	1.127308	0.2682216	1.0	0.968	8122	tags=42%, list=42%, signal=72%	
CALCIUM SIGNALING PATHWAY	CALCIUM SIGNALING PATHWAY		190	0.28438997	1.125909	0.32176656	1.0	0.968	5799	tags=35%, list=30%, signal=50%	
CYSTEINE AND METHIONINE METABOLISM	CYSTEINE AND METHIONINE METABOLISM		46	0.3315844	1.125778	0.3140496	1.0	0.968	7523	tags=46%, list=39%, signal=74%	
STEROID BIOSYNTHESIS	STEROID BIOSYNTHESIS		19	0.43438148	1.1164563	0.34908137	1.0	0.971	6475	tags=47%, list=33%, signal=71%	
INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS	INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS		97	0.29854727	1.1135839	0.33038348	1.0	0.971	7111	tags=37%, list=37%, signal=58%	
COLLECTING DUCT ACID SECRETION	COLLECTING DUCT ACID SECRETION		27	0.329662	1.105955	0.3106796	1.0	0.973	6232	tags=37%, list=32%, signal=54%	
JAK-STAT SIGNALING PATHWAY	JAK-STAT SIGNALING PATHWAY		162	0.29066294	1.097837	0.34108528	1.0	0.973	7538	tags=41%, list=39%, signal=67%	
WNT SIGNALING PATHWAY	WNT SIGNALING PATHWAY		158	0.2773095	1.0893015	0.35042736	1.0	0.975	9012	tags=48%, list=46%, signal=89%	
ARGININE BIOSYNTHESIS	ARGININE BIOSYNTHESIS		20	0.36477628	1.0881132	0.33962265	1.0	0.975	8213	tags=55%, list=42%, signal=95%	
TIGHT JUNCTION	TIGHT JUNCTION		166	0.2642272	1.0844301	0.308094	1.0	0.975	7023	tags=39%, list=36%, signal=61%	
AMYOTROPHIC LATERAL SCLEROSIS (ALS)	AMYOTROPHIC LATERAL SCLEROSIS (ALS)		50	0.27148002	1.0803168	0.3148148	1.0	0.976	9928	tags=54%, list=51%, signal=110%	
ALANINE  ASPARTATE AND GLUTAMATE METABOLISM	ALANINE  ASPARTATE AND GLUTAMATE METABOLISM		36	0.31182754	1.0755128	0.35652173	1.0	0.977	7990	tags=44%, list=41%, signal=75%	
CORTISOL SYNTHESIS AND SECRETION	CORTISOL SYNTHESIS AND SECRETION		65	0.28748056	1.0706105	0.37142858	1.0	0.98	9853	tags=57%, list=51%, signal=115%	
MELANOGENESIS	MELANOGENESIS		100	0.2784237	1.0688152	0.3620178	1.0	0.981	9557	tags=54%, list=49%, signal=106%	
SALIVARY SECRETION	SALIVARY SECRETION		85	0.25262532	1.0631425	0.35074627	1.0	0.982	3426	tags=21%, list=18%, signal=26%	
RIBOSOME BIOGENESIS IN EUKARYOTES	RIBOSOME BIOGENESIS IN EUKARYOTES		74	0.3592809	1.0591631	0.4251627	1.0	0.982	8954	tags=58%, list=46%, signal=107%	
BIOSYNTHESIS OF AMINO ACIDS	BIOSYNTHESIS OF AMINO ACIDS		71	0.30976945	1.0547886	0.39058173	1.0	0.982	9185	tags=55%, list=47%, signal=104%	
PANTOTHENATE AND COA BIOSYNTHESIS	PANTOTHENATE AND COA BIOSYNTHESIS		19	0.33412126	1.0539999	0.36516854	1.0	0.982	985	tags=16%, list=5%, signal=17%	
GLUTAMATERGIC SYNAPSE	GLUTAMATERGIC SYNAPSE		110	0.28228372	1.0509034	0.41449276	1.0	0.982	7111	tags=41%, list=37%, signal=64%	
BASAL TRANSCRIPTION FACTORS	BASAL TRANSCRIPTION FACTORS		44	0.34630707	1.0452919	0.43366337	1.0	0.983	8471	tags=52%, list=44%, signal=92%	
PENTOSE PHOSPHATE PATHWAY	PENTOSE PHOSPHATE PATHWAY		30	0.32291326	1.0362432	0.42606518	1.0	0.985	2696	tags=20%, list=14%, signal=23%	
AXON GUIDANCE	AXON GUIDANCE		179	0.27265793	1.0355276	0.40336135	1.0	0.985	7297	tags=37%, list=38%, signal=59%	
BASE EXCISION REPAIR	BASE EXCISION REPAIR		33	0.36736405	1.0261081	0.45338982	1.0	0.986	8215	tags=58%, list=42%, signal=100%	
HEPATITIS C	HEPATITIS C		153	0.2730932	1.0226715	0.42237443	1.0	0.986	7015	tags=41%, list=36%, signal=63%	
ALDOSTERONE SYNTHESIS AND SECRETION	ALDOSTERONE SYNTHESIS AND SECRETION		97	0.27017337	1.0205616	0.41715977	1.0	0.986	3498	tags=22%, list=18%, signal=26%	
AMPHETAMINE ADDICTION	AMPHETAMINE ADDICTION		67	0.26189226	1.0196633	0.43092105	1.0	0.986	6526	tags=33%, list=34%, signal=49%	
SIGNALING PATHWAYS REGULATING PLURIPOTENCY OF STEM CELLS	SIGNALING PATHWAYS REGULATING PLURIPOTENCY OF STEM CELLS		139	0.2615036	1.0189159	0.3994709	1.0	0.986	5592	tags=29%, list=29%, signal=41%	
CYTOKINE-CYTOKINE RECEPTOR INTERACTION	CYTOKINE-CYTOKINE RECEPTOR INTERACTION		292	0.24833354	1.0132822	0.41379312	1.0	0.988	7760	tags=41%, list=40%, signal=67%	
GAP JUNCTION	GAP JUNCTION		86	0.26923388	1.0093892	0.45405406	1.0	0.989	9976	tags=55%, list=51%, signal=112%	
PYRUVATE METABOLISM	PYRUVATE METABOLISM		39	0.31446093	1.0053028	0.4574468	1.0	0.989	2435	tags=21%, list=13%, signal=23%	
TYPE II DIABETES MELLITUS	TYPE II DIABETES MELLITUS		46	0.28113124	1.0039302	0.43063584	1.0	0.989	7642	tags=41%, list=39%, signal=68%	
PEROXISOME	PEROXISOME		82	0.2832826	0.999715	0.4387755	1.0	0.989	5631	tags=32%, list=29%, signal=44%	
CYTOSOLIC DNA-SENSING PATHWAY	CYTOSOLIC DNA-SENSING PATHWAY		61	0.27551287	0.99612486	0.4764957	1.0	0.989	5440	tags=34%, list=28%, signal=48%	
VIBRIO CHOLERAE INFECTION	VIBRIO CHOLERAE INFECTION		50	0.28902903	0.9934841	0.49318182	1.0	0.989	6232	tags=28%, list=32%, signal=41%	
HUMAN PAPILLOMAVIRUS INFECTION	HUMAN PAPILLOMAVIRUS INFECTION		329	0.23060443	0.9910547	0.44562334	1.0	0.99	5934	tags=29%, list=31%, signal=40%	
PROGESTERONE-MEDIATED OOCYTE MATURATION	PROGESTERONE-MEDIATED OOCYTE MATURATION		94	0.2723721	0.98996794	0.45215312	1.0	0.991	9964	tags=54%, list=51%, signal=111%	
HIF-1 SIGNALING PATHWAY	HIF-1 SIGNALING PATHWAY		106	0.26129144	0.98462445	0.4509284	1.0	0.992	9204	tags=48%, list=47%, signal=91%	
LINOLEIC ACID METABOLISM	LINOLEIC ACID METABOLISM		27	0.28589907	0.98298866	0.44725737	1.0	0.992	2252	tags=19%, list=12%, signal=21%	
RENIN-ANGIOTENSIN SYSTEM	RENIN-ANGIOTENSIN SYSTEM		23	0.28478834	0.97919106	0.4857143	1.0	0.993	8949	tags=61%, list=46%, signal=113%	
SELENOCOMPOUND METABOLISM	SELENOCOMPOUND METABOLISM		15	0.36133185	0.9779955	0.49056605	1.0	0.993	8952	tags=80%, list=46%, signal=148%	
HEPATOCELLULAR CARCINOMA	HEPATOCELLULAR CARCINOMA		166	0.2370276	0.9722833	0.5093333	1.0	0.993	5925	tags=30%, list=31%, signal=42%	
MTOR SIGNALING PATHWAY	MTOR SIGNALING PATHWAY		150	0.2517485	0.97011876	0.49754903	1.0	0.993	6818	tags=33%, list=35%, signal=50%	
THYROID HORMONE SYNTHESIS	THYROID HORMONE SYNTHESIS		74	0.2367774	0.967689	0.5017544	1.0	0.993	9853	tags=51%, list=51%, signal=104%	
RNA POLYMERASE	RNA POLYMERASE		31	0.3450402	0.96339744	0.48414376	1.0	0.993	8156	tags=58%, list=42%, signal=100%	
GLYCOLYSIS / GLUCONEOGENESIS	GLYCOLYSIS / GLUCONEOGENESIS		67	0.26311675	0.9618169	0.523511	1.0	0.993	3044	tags=19%, list=16%, signal=23%	
FOLATE BIOSYNTHESIS	FOLATE BIOSYNTHESIS		24	0.2970223	0.9595689	0.5205128	1.0	0.993	6689	tags=33%, list=34%, signal=51%	
PROTEIN DIGESTION AND ABSORPTION	PROTEIN DIGESTION AND ABSORPTION		89	0.24120851	0.95452225	0.52272725	1.0	0.993	6454	tags=34%, list=33%, signal=50%	
BUTANOATE METABOLISM	BUTANOATE METABOLISM		28	0.29963505	0.94797945	0.5039788	1.0	0.993	5903	tags=36%, list=30%, signal=51%	
ANTIFOLATE RESISTANCE	ANTIFOLATE RESISTANCE		30	0.2925379	0.9472581	0.54464287	1.0	0.993	6840	tags=37%, list=35%, signal=57%	
GLYOXYLATE AND DICARBOXYLATE METABOLISM	GLYOXYLATE AND DICARBOXYLATE METABOLISM		29	0.31449363	0.9417789	0.51122195	1.0	0.993	5903	tags=38%, list=30%, signal=54%	
ALPHA-LINOLENIC ACID METABOLISM	ALPHA-LINOLENIC ACID METABOLISM		23	0.27165243	0.94167435	0.5509434	1.0	0.993	2252	tags=17%, list=12%, signal=20%	
FAT DIGESTION AND ABSORPTION	FAT DIGESTION AND ABSORPTION		41	0.28226542	0.9410957	0.513308	1.0	0.993	7756	tags=46%, list=40%, signal=77%	
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	METABOLISM OF XENOBIOTICS BY CYTOCHROME P450		70	0.25311503	0.9367621	0.5180328	1.0	0.994	5349	tags=30%, list=28%, signal=41%	
NECROPTOSIS	NECROPTOSIS		156	0.22714771	0.9345795	0.54390246	1.0	0.994	7086	tags=35%, list=36%, signal=54%	
DNA REPLICATION	DNA REPLICATION		36	0.38903433	0.9259668	0.5314534	1.0	0.994	9360	tags=72%, list=48%, signal=139%	
SPHINGOLIPID METABOLISM	SPHINGOLIPID METABOLISM		47	0.2724341	0.924094	0.5398936	1.0	0.994	9060	tags=49%, list=47%, signal=91%	
GNRH SIGNALING PATHWAY	GNRH SIGNALING PATHWAY		91	0.24840778	0.92202055	0.53808355	1.0	0.994	7111	tags=34%, list=37%, signal=53%	
CHEMICAL CARCINOGENESIS	CHEMICAL CARCINOGENESIS		75	0.25219396	0.91941273	0.5221843	1.0	0.994	5349	tags=29%, list=28%, signal=40%	
CAMP SIGNALING PATHWAY	CAMP SIGNALING PATHWAY		211	0.22353734	0.91758245	0.552381	1.0	0.994	8556	tags=42%, list=44%, signal=74%	
SEROTONERGIC SYNAPSE	SEROTONERGIC SYNAPSE		111	0.23062822	0.9156245	0.59074736	1.0	0.994	6840	tags=33%, list=35%, signal=51%	
PATHOGENIC ESCHERICHIA COLI INFECTION	PATHOGENIC ESCHERICHIA COLI INFECTION		54	0.26273683	0.9096185	0.5693431	1.0	0.994	8600	tags=54%, list=44%, signal=96%	
MELANOMA	MELANOMA		72	0.23781036	0.9079536	0.5730337	1.0	0.994	10252	tags=53%, list=53%, signal=111%	
DRUG METABOLISM - CYTOCHROME P450	DRUG METABOLISM - CYTOCHROME P450		66	0.24650754	0.90406257	0.5614618	1.0	0.994	2755	tags=20%, list=14%, signal=23%	
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM		56	0.24617195	0.9035282	0.57828283	1.0	0.994	8967	tags=48%, list=46%, signal=89%	
ARACHIDONIC ACID METABOLISM	ARACHIDONIC ACID METABOLISM		59	0.21656467	0.9025477	0.65625	1.0	0.994	5862	tags=29%, list=30%, signal=41%	
BIOSYNTHESIS OF UNSATURATED FATTY ACIDS	BIOSYNTHESIS OF UNSATURATED FATTY ACIDS		27	0.2786073	0.89844173	0.6233766	1.0	0.994	10520	tags=52%, list=54%, signal=113%	
GLYCEROLIPID METABOLISM	GLYCEROLIPID METABOLISM		61	0.25553977	0.897928	0.5942857	1.0	0.994	3676	tags=25%, list=19%, signal=30%	
LONG-TERM DEPRESSION	LONG-TERM DEPRESSION		57	0.24679355	0.8951838	0.5913978	1.0	0.994	4478	tags=28%, list=23%, signal=36%	
GLYCOSPHINGOLIPID BIOSYNTHESIS - LACTO AND NEOLACTO SERIES	GLYCOSPHINGOLIPID BIOSYNTHESIS - LACTO AND NEOLACTO SERIES		27	0.26133826	0.89266306	0.61488676	1.0	0.994	6978	tags=33%, list=36%, signal=52%	
SYSTEMIC LUPUS ERYTHEMATOSUS	SYSTEMIC LUPUS ERYTHEMATOSUS		122	0.25675273	0.89260554	0.55487806	1.0	0.994	6925	tags=45%, list=36%, signal=70%	
MORPHINE ADDICTION	MORPHINE ADDICTION		89	0.25399685	0.8920095	0.58038145	1.0	0.994	3009	tags=20%, list=15%, signal=24%	
RNA TRANSPORT	RNA TRANSPORT		157	0.2810095	0.8826502	0.59227467	1.0	0.994	9990	tags=59%, list=51%, signal=121%	
MISMATCH REPAIR	MISMATCH REPAIR		23	0.35803726	0.87924594	0.58598727	1.0	0.994	7975	tags=61%, list=41%, signal=103%	
MRNA SURVEILLANCE PATHWAY	MRNA SURVEILLANCE PATHWAY		90	0.26493517	0.8709888	0.61538464	1.0	0.995	10925	tags=63%, list=56%, signal=144%	
RIG-I-LIKE RECEPTOR SIGNALING PATHWAY	RIG-I-LIKE RECEPTOR SIGNALING PATHWAY		70	0.25084957	0.8682794	0.624498	1.0	0.995	3197	tags=23%, list=16%, signal=27%	
CELL CYCLE	CELL CYCLE		124	0.29058775	0.8654998	0.6152074	1.0	0.996	9830	tags=63%, list=51%, signal=127%	
THYROID CANCER	THYROID CANCER		37	0.2564619	0.8649509	0.6317073	1.0	0.996	6495	tags=35%, list=33%, signal=53%	
COMPLEMENT AND COAGULATION CASCADES	COMPLEMENT AND COAGULATION CASCADES		78	0.22848907	0.864762	0.64026403	1.0	0.996	6600	tags=33%, list=34%, signal=50%	
PPAR SIGNALING PATHWAY	PPAR SIGNALING PATHWAY		75	0.21531628	0.8645442	0.6536965	1.0	0.996	7188	tags=36%, list=37%, signal=57%	
GLUCAGON SIGNALING PATHWAY	GLUCAGON SIGNALING PATHWAY		104	0.21764934	0.86179215	0.66855526	1.0	0.996	4499	tags=21%, list=23%, signal=27%	
TRANSCRIPTIONAL MISREGULATION IN CANCER	TRANSCRIPTIONAL MISREGULATION IN CANCER		180	0.21054098	0.8617667	0.7028754	1.0	0.996	8341	tags=39%, list=43%, signal=68%	
MAPK SIGNALING PATHWAY	MAPK SIGNALING PATHWAY		291	0.21663837	0.8617135	0.6527415	1.0	0.996	7981	tags=36%, list=41%, signal=60%	
PROTEIN PROCESSING IN ENDOPLASMIC RETICULUM	PROTEIN PROCESSING IN ENDOPLASMIC RETICULUM		160	0.2542833	0.85885054	0.6146572	1.0	0.996	6823	tags=34%, list=35%, signal=53%	
MEASLES	MEASLES		137	0.24317649	0.8577976	0.6196581	1.0	0.997	6315	tags=31%, list=33%, signal=46%	
HEDGEHOG SIGNALING PATHWAY	HEDGEHOG SIGNALING PATHWAY		44	0.29637584	0.8576843	0.61368656	1.0	0.997	10486	tags=59%, list=54%, signal=128%	
NUCLEOTIDE EXCISION REPAIR	NUCLEOTIDE EXCISION REPAIR		45	0.29973984	0.85697603	0.6112266	1.0	0.997	8882	tags=53%, list=46%, signal=98%	
PARATHYROID HORMONE SYNTHESIS  SECRETION AND ACTION	PARATHYROID HORMONE SYNTHESIS  SECRETION AND ACTION		106	0.23293667	0.8491237	0.63432837	1.0	0.997	7111	tags=34%, list=37%, signal=53%	
ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION	ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION		50	0.21989913	0.8481153	0.73156345	1.0	0.997	7287	tags=34%, list=38%, signal=54%	
PROTEASOME	PROTEASOME		44	0.36055276	0.84673756	0.60042286	1.0	0.997	8482	tags=55%, list=44%, signal=97%	
GLYCEROPHOSPHOLIPID METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM		94	0.20678423	0.83994097	0.7331081	1.0	0.997	6494	tags=30%, list=33%, signal=45%	
LYSINE DEGRADATION	LYSINE DEGRADATION		57	0.25948152	0.8366412	0.6455696	1.0	0.997	9390	tags=51%, list=48%, signal=98%	
HISTIDINE METABOLISM	HISTIDINE METABOLISM		23	0.26088527	0.83349997	0.67763156	1.0	0.998	1376	tags=17%, list=7%, signal=19%	
VIRAL CARCINOGENESIS	VIRAL CARCINOGENESIS		199	0.21190874	0.83290267	0.7090465	1.0	0.998	7902	tags=36%, list=41%, signal=60%	
THYROID HORMONE SIGNALING PATHWAY	THYROID HORMONE SIGNALING PATHWAY		119	0.22456205	0.8302543	0.7067669	1.0	0.998	6559	tags=31%, list=34%, signal=47%	
ENDOMETRIAL CANCER	ENDOMETRIAL CANCER		58	0.24194656	0.8279974	0.6536697	1.0	0.999	6594	tags=29%, list=34%, signal=44%	
PI3K-AKT SIGNALING PATHWAY	PI3K-AKT SIGNALING PATHWAY		351	0.19305626	0.82753456	0.7050562	1.0	0.999	8384	tags=38%, list=43%, signal=65%	
INSULIN SIGNALING PATHWAY	INSULIN SIGNALING PATHWAY		136	0.2188426	0.82636577	0.71039605	1.0	0.999	4901	tags=23%, list=25%, signal=30%	
BLADDER CANCER	BLADDER CANCER		41	0.25013292	0.82628024	0.70523417	1.0	0.999	8856	tags=49%, list=46%, signal=89%	
CIRCADIAN ENTRAINMENT	CIRCADIAN ENTRAINMENT		94	0.22862753	0.8256033	0.6871345	1.0	0.999	3925	tags=21%, list=20%, signal=27%	
OTHER GLYCAN DEGRADATION	OTHER GLYCAN DEGRADATION		17	0.3106308	0.8231966	0.6533958	0.9991544	0.999	10317	tags=53%, list=53%, signal=113%	
APOPTOSIS - MULTIPLE SPECIES	APOPTOSIS - MULTIPLE SPECIES		31	0.2780387	0.8215607	0.69083154	0.9960654	0.999	4824	tags=29%, list=25%, signal=39%	
ACUTE MYELOID LEUKEMIA	ACUTE MYELOID LEUKEMIA		66	0.24037845	0.81891894	0.66502464	0.99553734	0.999	4244	tags=21%, list=22%, signal=27%	
ERBB SIGNALING PATHWAY	ERBB SIGNALING PATHWAY		83	0.23573014	0.8174338	0.7097561	0.9919821	0.999	7600	tags=35%, list=39%, signal=57%	
FATTY ACID BIOSYNTHESIS	FATTY ACID BIOSYNTHESIS		17	0.25740856	0.8144105	0.76566756	0.99220276	0.999	7140	tags=41%, list=37%, signal=65%	
DILATED CARDIOMYOPATHY (DCM)	DILATED CARDIOMYOPATHY (DCM)		95	0.22717541	0.8140215	0.6571429	0.98641044	0.999	3496	tags=21%, list=18%, signal=26%	
LONGEVITY REGULATING PATHWAY - MULTIPLE SPECIES	LONGEVITY REGULATING PATHWAY - MULTIPLE SPECIES		62	0.23316033	0.8092261	0.71359223	0.9912839	0.999	5245	tags=24%, list=27%, signal=33%	
LONG-TERM POTENTIATION	LONG-TERM POTENTIATION		66	0.22652845	0.8056996	0.71842104	0.99214697	0.999	9862	tags=55%, list=51%, signal=110%	
P53 SIGNALING PATHWAY	P53 SIGNALING PATHWAY		71	0.23879471	0.8027247	0.7375	0.99238586	0.999	11652	tags=65%, list=60%, signal=161%	
OXYTOCIN SIGNALING PATHWAY	OXYTOCIN SIGNALING PATHWAY		149	0.2104755	0.79890585	0.7219388	0.99409956	0.999	6526	tags=30%, list=34%, signal=45%	
ADRENERGIC SIGNALING IN CARDIOMYOCYTES	ADRENERGIC SIGNALING IN CARDIOMYOCYTES		148	0.20903556	0.7966232	0.7219101	0.99265665	0.999	3576	tags=19%, list=18%, signal=23%	
CARDIAC MUSCLE CONTRACTION	CARDIAC MUSCLE CONTRACTION		82	0.19862491	0.793718	0.73964494	0.99374455	0.999	2984	tags=18%, list=15%, signal=22%	
MICRORNAS IN CANCER	MICRORNAS IN CANCER		149	0.22116692	0.79368234	0.7647059	0.9873581	0.999	10043	tags=52%, list=52%, signal=106%	
TGF-BETA SIGNALING PATHWAY	TGF-BETA SIGNALING PATHWAY		92	0.23028995	0.79094464	0.72794116	0.98720616	0.999	8666	tags=40%, list=45%, signal=72%	
COLORECTAL CANCER	COLORECTAL CANCER		86	0.22843572	0.7889895	0.7287356	0.9858463	0.999	7909	tags=34%, list=41%, signal=57%	
