ID	Support	Type
Cortisol synthesis and secretion	0.123076923	2
C-type lectin receptor signaling pathway	0.096153846	1
Cushing syndrome	0.122580645	2
Cysteine and methionine metabolism	0.040816327	7
Cytokine-cytokine receptor interaction	0.034013605	NA
Cytosolic DNA-sensing pathway	0.015873016	NA
Dilated cardiomyopathy (DCM)	0.052083333	NA
DNA replication	0.027777778	NA
Dopaminergic synapse	0.190839695	NA
Drug metabolism - cytochrome P450	0.041666667	6
Drug metabolism - other enzymes	0.037974684	6
ECM-receptor interaction	0.023255814	NA
EGFR tyrosine kinase inhibitor resistance	0.151898734	1
Endocrine and other factor-regulated calcium reabsorption	0.14	2
Endocrine resistance	0.163265306	1
Endocytosis	0.053278689	NA
Endometrial cancer	0.137931034	1
Epithelial cell signaling in Helicobacter pylori infection	0.1	NA
Epstein-Barr virus infection	0.07960199	NA
ErbB signaling pathway	0.164705882	1
Estrogen signaling pathway	0.144927536	NA
Ether lipid metabolism	0.042553191	5
Fat digestion and absorption	0.024390244	5
Fc epsilon RI signaling pathway	0.117647059	1
Fc gamma R-mediated phagocytosis	0.074468085	1
Ferroptosis	0.125	NA
Fluid shear stress and atherosclerosis	0.100719424	NA
Focal adhesion	0.075376884	1
Folate biosynthesis	0.115384615	NA
FoxO signaling pathway	0.106060606	1
Fructose and mannose metabolism	0.090909091	NA
GABAergic synapse	0.191011236	NA
Galactose metabolism	0.064516129	9
Gap junction	0.215909091	2
Gastric acid secretion	0.16	2
Gastric cancer	0.080536913	1
Glioma	0.173333333	1
Glucagon signaling pathway	0.066037736	NA
Glutamatergic synapse	0.175438596	2
Glutathione metabolism	0.035714286	NA
Glycerolipid metabolism	0.016393443	9
Glycerophospholipid metabolism	0.020618557	5
"Glycine, serine and threonine metabolism"	0.025	3
Glycolysis / Gluconeogenesis	0.102941176	NA
Glyoxylate and dicarboxylate metabolism	0.033333333	7
GnRH signaling pathway	0.182795699	2
Graft-versus-host disease	0.097560976	1
Hematopoietic cell lineage	0.051546392	1
Hepatitis B	0.110429448	1
Hepatitis C	0.116129032	NA
Hepatocellular carcinoma	0.113095238	1
Herpes simplex virus 1 infection	0.022357724	NA
HIF-1 signaling pathway	0.183486239	NA
Hippo signaling pathway	0.064935065	NA
Histidine metabolism	0.043478261	3
Human cytomegalovirus infection	0.151111111	2
Human immunodeficiency virus 1 infection	0.122641509	2
Human papillomavirus infection	0.072727273	NA
Human T-cell leukemia virus 1 infection	0.118721461	NA
Huntington disease	0.088082902	NA
Hypertrophic cardiomyopathy (HCM)	0.033333333	NA
IL-17 signaling pathway	0.107526882	1
Inflammatory bowel disease (IBD)	0.061538462	1
Inflammatory mediator regulation of TRP channels	0.12	2
Influenza A	0.077844311	NA
Insulin resistance	0.083333333	NA
Insulin secretion	0.162790698	2
Insulin signaling pathway	0.087591241	NA
Intestinal immune network for IgA production	0.081632653	NA
Jak-STAT signaling pathway	0.049382716	NA
Kaposi sarcoma-associated herpesvirus infection	0.123655914	NA
Legionellosis	0.109090909	NA
Leishmaniasis	0.108108108	1
Leukocyte transendothelial migration	0.089285714	NA
Linoleic acid metabolism	0.034482759	5
Longevity regulating pathway	0.06741573	NA
Longevity regulating pathway - multiple species	0.129032258	NA
Long-term depression	0.216666667	2
Long-term potentiation	0.208955224	2
Lysosome	0.032520325	NA
Malaria	0.040816327	NA
MAPK signaling pathway	0.111864407	NA
Maturity onset diabetes of the young	0.038461538	NA
Measles	0.094202899	NA
Melanogenesis	0.158415842	2
Melanoma	0.125	1
Metabolic pathways	0.030704815	NA
Metabolism of xenobiotics by cytochrome P450	0.026315789	6
MicroRNAs in cancer	0.050167224	NA
Mineral absorption	0.094339623	NA
Mitophagy - animal	0.076923077	NA
Morphine addiction	0.142857143	NA
mRNA surveillance pathway	0.021978022	NA
mTOR signaling pathway	0.098039216	NA
Natural killer cell mediated cytotoxicity	0.06870229	1
Necroptosis	0.043209877	NA
Neuroactive ligand-receptor interaction	0.091715976	NA
Neurotrophin signaling pathway	0.117647059	1
NF-kappa B signaling pathway	0.05	NA
Nicotine addiction	0.175	NA
Nitrogen metabolism	0.058823529	NA
NOD-like receptor signaling pathway	0.073033708	1
Non-alcoholic fatty liver disease (NAFLD)	0.080536913	NA
Non-small cell lung cancer	0.166666667	1
Olfactory transduction	0.006696429	NA
One carbon pool by folate	0.05	NA
Oocyte meiosis	0.1015625	NA
Osteoclast differentiation	0.109375	1
Ovarian steroidogenesis	0.06122449	NA
Oxidative phosphorylation	0.07518797	NA
Oxytocin signaling pathway	0.130718954	2
p53 signaling pathway	0.083333333	1
Pancreatic cancer	0.146666667	1
Pancreatic secretion	0.102040816	2
"Parathyroid hormone synthesis, secretion and action"	0.150943396	2
Pathogenic Escherichia coli infection	0.090909091	NA
Pathways in cancer	0.086792453	2
PD-L1 expression and PD-1 checkpoint pathway in cancer	0.08988764	1
Pentose and glucuronate interconversions	0.029411765	9
Pentose phosphate pathway	0.066666667	NA
Peroxisome	0.012048193	NA
Pertussis	0.144736842	1
Phagosome	0.085526316	NA
Phosphatidylinositol signaling system	0.050505051	NA
Phospholipase D signaling pathway	0.067567568	2
Phototransduction	0.107142857	NA
PI3K-Akt signaling pathway	0.087570621	NA
Platelet activation	0.072580645	NA
Platinum drug resistance	0.082191781	NA
Porphyrin and chlorophyll metabolism	0.023809524	NA
PPAR signaling pathway	0.013157895	NA
Primary immunodeficiency	0.027027027	NA
Prion diseases	0.171428571	NA
Progesterone-mediated oocyte maturation	0.090909091	1
Prolactin signaling pathway	0.128571429	1
Propanoate metabolism	0.029411765	4
Prostate cancer	0.134020619	1
Proteasome	0.022222222	NA
Protein digestion and absorption	0.033333333	NA
Protein export	0.043478261	NA
Protein processing in endoplasmic reticulum	0.066666667	NA
Proteoglycans in cancer	0.113300493	NA
Proximal tubule bicarbonate reclamation	0.086956522	NA
Purine metabolism	0.030769231	NA
Rap1 signaling pathway	0.095238095	2
Ras signaling pathway	0.090517241	NA
Regulation of actin cytoskeleton	0.042056075	NA
Regulation of lipolysis in adipocytes	0.072727273	NA
Relaxin signaling pathway	0.153846154	2
Renal cell carcinoma	0.115942029	1
Renin secretion	0.115942029	2
Retinol metabolism	0.014925373	6
Retrograde endocannabinoid signaling	0.162162162	2
Rheumatoid arthritis	0.087912088	1
Ribosome	0.026143791	NA
Ribosome biogenesis in eukaryotes	0.019047619	NA
RIG-I-like receptor signaling pathway	0.071428571	NA
RNA degradation	0.050632911	NA
RNA transport	0.018181818	NA
Salivary secretion	0.111111111	2
Salmonella infection	0.072289157	1
Serotonergic synapse	0.182608696	NA
Shigellosis	0.088235294	1
Signaling pathways regulating pluripotency of stem cells	0.064285714	1
Small cell lung cancer	0.096774194	1
SNARE interactions in vesicular transport	0.088235294	NA
Sphingolipid metabolism	0.042553191	NA
Sphingolipid signaling pathway	0.159663866	NA
Spliceosome	0.059259259	NA
Staphylococcus aureus infection	0.044117647	1
Starch and sucrose metabolism	0.027777778	9
Synaptic vesicle cycle	0.128205128	NA
Systemic lupus erythematosus	0.022556391	1
T cell receptor signaling pathway	0.097087379	1
Taste transduction	0.048192771	NA
Taurine and hypotaurine metabolism	0.090909091	4
Terpenoid backbone biosynthesis	0.045454545	NA
Th1 and Th2 cell differentiation	0.097826087	1
Th17 cell differentiation	0.093457944	1
Thermogenesis	0.064935065	NA
Thyroid cancer	0.189189189	1
Thyroid hormone signaling pathway	0.100840336	NA
Thyroid hormone synthesis	0.135135135	2
Tight junction	0.076470588	NA
TNF signaling pathway	0.116071429	1
Toll-like receptor signaling pathway	0.086538462	1
Toxoplasmosis	0.150442478	NA
Transcriptional misregulation in cancer	0.075268817	NA
Tryptophan metabolism	0.023809524	3
Tuberculosis	0.078212291	NA
Type I diabetes mellitus	0.139534884	1
Type II diabetes mellitus	0.195652174	NA
Tyrosine metabolism	0.083333333	NA
Ubiquitin mediated proteolysis	0.00729927	NA
"Valine, leucine and isoleucine degradation"	0.020833333	4
Vascular smooth muscle contraction	0.128787879	2
Vasopressin-regulated water reabsorption	0.068181818	NA
Vibrio cholerae infection	0.06	NA
Viral carcinogenesis	0.089552239	NA
Viral myocarditis	0.083333333	1
Viral protein interaction with cytokine and cytokine receptor	0.07	NA
Yersinia infection	0.090909091	1
