ID	TCGA-D5-6534-01A	TCGA-AZ-5403-01A	TCGA-CM-6679-01A	TCGA-DT-5265-01A	TCGA-F4-6805-01A	TCGA-QG-A5YX-01A	TCGA-G4-6586-01A	TCGA-D5-6541-01A	TCGA-DM-A1D4-01A	TCGA-CM-5860-01A	TCGA-T9-A92H-01A	TCGA-CM-4752-01A	TCGA-DY-A0XA-01A	TCGA-AY-6197-01A	TCGA-EI-6882-01A	TCGA-AZ-6601-01A	TCGA-EI-6507-01A	TCGA-DC-6682-01A	TCGA-CL-5918-01A	TCGA-G4-6295-01A	TCGA-DM-A1DB-01A	TCGA-G4-6626-01A	TCGA-AF-A56K-01A	TCGA-D5-6924-01A	TCGA-F5-6465-01A	TCGA-F5-6811-01A	TCGA-EI-6883-01A	TCGA-EI-6506-01A	TCGA-EI-6514-01A	TCGA-AG-4022-01A	TCGA-A6-3810-01A	TCGA-A6-6782-01A	TCGA-DY-A1DC-01A	TCGA-CA-5797-01A	TCGA-CM-6169-01A	TCGA-AG-3592-01A	TCGA-G4-6625-01A	TCGA-NH-A8F7-01A	TCGA-A6-2675-01A	TCGA-AU-3779-01A	TCGA-AF-A56N-01A	TCGA-AA-3496-01A	TCGA-AA-3697-01A	TCGA-CA-6719-01A	TCGA-CA-5256-01A	TCGA-CM-6165-01A
RPL7L1P12	0	0	0	0	0	0	0	0	0	0	0	0	0	9.238475996	0	9.225868005	0	9.658893487	0	0	0	0	9.297940491	0	0	0	0	0	9.370168851	0	12.74513456	0	0	0	0	0	0	0	9.598277415	0	9.180308755	0	0	0	0	0
CH17-38B12.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.791497547	0	0	0	0	0
Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL8B	18.7576036	19.62705682	19.1534901	18.6866963	19.14273137	18.71362251	19.0025039	19.47951785	19.11624618	19.3420218	18.33362441	18.62915956	18.80591721	18.4982395	18.72355648	18.81556238	18.76754823	18.43220554	19.05349714	19.5902461	18.97294905	18.65340811	18.71897041	18.77491289	18.89912547	19.54332226	18.61875888	18.62571359	18.64728181	19.14740066	18.93845807	18.97173923	18.88813243	18.74118517	19.25582845	19.1013312	18.72326504	18.53239352	18.58746483	18.93141644	18.71437851	18.78771665	18.94396818	18.90108254	19.42544756	19.03825254
RP11-166P13.4	10.77967583	8.496472808	12.40950243	8.932694248	10.43378469	13.00266971	10.38899241	9.634266307	9.827870227	10.38807389	11.69549496	10.70863915	10.75459035	11.00475884	11.66152994	8.994259331	10.62784397	11.10380628	9.678877442	11.70496077	11.24796401	10.48930478	12.89162653	11.42525378	9.819663653	12.69199589	10.82381109	12.27932213	10.62230048	11.18074584	13.12140961	11.84322062	11.00717766	9.587125294	11.57043475	10.92559477	11.87775613	12.7002221	12.53455413	12.09426936	12.4570094	11.3986007	10.72784925	10.74065048	8.116448013	11.3974441
CALB2	18.7546433	15.55029251	14.20313021	19.30605246	16.98372556	9.031342415	11.94054501	13.21881026	7.991904735	14.75644678	12.77137908	13.70071957	9.278594338	13.18207809	11.27532906	17.70327919	17.6330006	11.43354169	12.00733613	12.36724639	12.35512306	12.43991824	14.31955702	14.47455394	13.63347605	16.04020461	13.56804062	14.64777673	12.31410774	14.94542548	17.81912059	17.78488767	12.03712897	14.16312394	11.63724827	10.99239618	14.94000413	13.40657091	16.15370675	11.92168036	12.12398043	11.55848902	13.9898422	14.35267938	10.44214686	13.91129681
MFSD3	17.8954641	19.03244759	18.01890912	18.29451886	18.15302306	18.89973591	19.15677024	18.13917788	18.50178356	17.71315448	19.01073273	19.44323784	19.13441206	19.08431536	18.48029545	18.97795113	18.72811096	16.87782767	18.65918086	20.22566963	18.68623092	19.89101609	17.79987763	17.30700068	17.74597822	17.28702627	19.60923886	17.99843763	17.29122498	18.00081824	17.95514791	17.81400698	19.25978616	18.59496243	17.22786772	17.9883267	18.460339	17.87683168	18.10856727	17.45000617	17.89852924	17.08183671	18.80412479	18.00119318	19.03287403	17.50450896
AC092839.4	9.893366674	0	0	10.43609202	0	10.20524714	0	0	10.16292732	10.72323696	10.24736238	0	10.4527413	10.18867655	0	10.17605843	0	10.60938579	12.59769792	0	13.32397949	10.29432182	0	0	0	10.3402216	11.74378457	11.58841466	0	10.22720809	10.11261987	0	11.51228193	10.09188234	0	9.846769365	0	11.37297075	0	0	0	10.14976065	10.77370241	0	0	0
LINC00636	9.733147515	0	8.315742511	0	8.873843115	0	8.566714836	0	8.420525063	9.978454052	8.504792147	9.884293012	8.709801198	8.446222028	0	8.433629405	0	0	8.855223692	0	11.20058027	0	0	10.09853409	9.258447114	8.597477611	8.4172676	0	8.577762143	8.484677065	0	9.475524241	0	9.347416188	9.746629515	8.105090871	9.551784734	8.630711004	10.38844844	0	0	9.989512447	0	8.596599494	9.872731107	9.69916553
PIGV	15.95063314	17.50968384	16.96011699	16.8660119	17.00740138	17.73662731	17.02873194	16.67143232	16.49029923	16.70690367	16.79519297	16.92232871	17.22605992	17.22678018	17.26387253	16.75441752	16.82001316	17.20644368	17.14304132	16.44454652	16.24607997	17.1222958	16.23659752	16.59323139	17.26562528	17.54019781	18.27914574	16.32961396	17.52479624	17.0565415	16.79530668	17.11432217	17.09475088	17.11144398	16.41254835	16.80150767	16.91626234	16.81452929	17.23272523	17.33097493	16.69016576	17.13427646	16.52651639	16.33791198	17.71341283	17.27332501
RP11-578F21.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.16626757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIGFP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.64560164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHIAP1	0	0	0	0	0	0	0	0	0	0	0	0	9.054295767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.829047732	0	0	0	0	0	0	0	0	0	0	0	8.751708946	0	0	0	0
RP5-1071N3.1	11.98243857	10.50404836	10.34055886	11.8882341	10.70722089	10.29540613	11.17672902	12.33845577	9.446615551	9.592094413	10.5300292	9.912501615	10.0578719	11.37775088	11.09629624	11.04333528	10.96838275	8.894375153	8.883401501	10.0611098	9.907779898	7.583591491	10.99002024	11.12610144	11.92855411	9.945378502	9.029006314	10.60871404	9.189654847	10.83160213	12.41553948	10.50272915	10.38071112	8.961297728	10.3592486	10.451039	9.901536713	9.242650863	10.6389074	11.25468829	10.99772057	10.89155953	10.05711109	9.944499005	8.902447702	10.31176516
RP13-526J3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF708	15.05493479	15.34377486	15.00184994	14.68434962	14.85382988	14.9011599	14.75164888	14.00627159	15.390606	15.39819437	14.6118419	14.66652893	15.38266396	14.85465309	14.74012812	14.50272738	15.4127279	15.51766184	14.93625385	15.23829592	15.60037532	15.12741981	15.8769989	15.22410767	15.43214741	14.921823	15.16982117	15.07112057	15.36438709	15.26772403	16.26185319	14.58983789	14.34221211	14.6028967	15.84525631	15.0564823	15.0944226	15.96424853	14.88112585	15.36513798	15.3014134	15.00942293	15.40509975	15.57300242	15.78268039	15.22214199
LINC01224	14.01178396	15.39329966	16.04225136	13.90697725	15.38289632	16.54966555	16.19143172	12.64733618	17.02795276	14.25258888	15.61397898	15.74799962	16.24846275	16.03952104	16.1221047	16.35052907	13.48971578	16.3842809	15.35816294	14.49686006	16.75977486	16.74253465	15.46324898	15.60934446	14.78031166	15.48718426	15.54210441	15.04487144	15.36122088	14.39261201	14.70177633	16.07093702	16.01672509	15.15727631	14.96218743	16.63897702	15.77079361	14.99258398	14.53869113	15.72803062	15.30033814	15.38238786	15.08778321	15.18173043	15.97230991	15.68977589
RP11-434D2.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-15J22.8	9.622378472	10.14279615	10.78608288	10.16500544	10.34593152	9.934197937	11.03764944	0	10.89112618	0	9.976305901	0	0	10.91688425	0	0	0	10.33827482	0	0	11.35264884	10.02325748	10.97641516	0	0	0	0	10.73252974	0	0	0	0	0	10.820056	11.21961228	0	10.02530431	10.10243758	0	0	9.859426071	0	0	0	0	12.17179967
MYADML2	14.7869643	10.87866447	14.85956232	13.05229975	13.49636347	16.01095059	13.92543734	14.32914697	8.460920015	15.47699806	14.48390398	12.38297896	11.995144	14.41339483	12.98255787	10.27847934	10.98065	13.11322971	15.34386247	13.72749027	9.920040531	14.17336458	11.44955899	14.54718036	15.23327652	15.10190635	15.72036611	12.05336206	14.92742218	10.84386878	13.94052262	15.40278436	10.61521444	9.972110897	14.56687987	16.22783491	15.50926696	15.72830071	15.64384884	14.09242427	16.04639883	14.13022262	14.98693728	15.4726149	13.23378089	15.22983113
DNM3-IT1	10.82171033	10.34299679	0	0	10.54615389	11.13373089	0	0	0	0	0	0	10.38185727	0	10.57284555	0	0	0	0	0	9.554383198	11.22284032	10.17731153	0	0	0	10.08879082	0	0	10.15633284	11.62579938	0	0	0	0	0	0	10.30263352	0	11.44137091	0	10.07888874	11.70237518	0	0	0
PHEX	10.66889213	9.792057128	9.147215075	12.67537473	10.92735882	10.21088099	8.231249674	10.58738965	9.541213385	11.10064781	11.16497923	9.548229724	9.179732082	10.49893037	11.9876298	11.34147024	9.604814167	13.83051756	9.839144945	10.37421564	14.44250646	8.216207636	9.751813551	12.9897495	11.00778905	9.959173806	9.663319912	10.44575608	11.3673464	10.72999195	10.09167924	10.59739519	9.017712297	13.90364747	11.10957776	9.57262834	10.67371216	10.37914899	9.637682271	11.07448906	11.88062263	9.768760372	8.694540316	10.34497616	11.62264772	9.363157124
KRT8P47	0	0	0	0	0	0	0	0	8.275603474	0	8.359845239	0	0	0	0	8.28870378	0	0	0	0	0	8.40670196	0	0	0	0	0	0	0	0	0	0	0	8.204730112	9.601439641	0	0	8.485728915	0	0	0	0	0	8.451626635	9.727526334	0
MOGAT2	15.44646266	16.65836231	17.18770899	10.679724	16.23363897	18.30484691	10.43762231	18.50448647	17.905314	15.61449439	17.13716056	16.48437858	13.18504518	18.42210548	15.22514481	17.24662844	8.772010872	14.21798108	15.59205965	14.10691287	14.29610799	14.86999784	16.23952243	15.28078584	14.66380044	17.52181082	14.54730582	18.0796727	17.74228542	16.62424084	14.13391228	16.55338837	16.35894004	16.66872678	13.78865283	16.01062961	16.99593343	14.67072369	18.10793683	17.25849933	13.11563441	15.66628663	16.69128535	17.37143852	16.40784979	17.9670024
RP11-411B10.8	9.788343955	9.309958891	8.954341544	10.33103335	0	9.101515883	0	8.865794564	10.05788506	10.61816408	10.14231471	0	9.348788463	10.08363261	0	9.072355897	10.12151101	9.505311118	9.494329458	0	11.32617861	0	10.7276771	9.739129374	11.21884573	10.81973179	9.055977019	10.89860212	0	9.123455598	11.81393449	9.116320746	0	8.988265971	0	8.743434488	9.192551699	11.26787448	0	10.40771299	10.02542173	9.046084493	10.66862732	0	11.51190822	0
PFN2	17.27951467	19.39984793	18.56420123	16.79218533	16.89193074	18.005071	14.09585519	16.59346192	15.06997023	17.93242889	14.87662978	18.07316985	16.79722743	17.9856478	16.10413401	15.52422816	18.36369878	19.92425479	15.76086583	15.35797182	19.23594368	19.86951661	18.81128432	16.55368732	16.61259177	18.78460398	14.88156633	16.55300705	19.55714589	17.03483304	19.76528769	17.19525686	20.80394214	19.48269631	16.83970818	18.34105881	17.43861261	15.85863587	16.77586249	18.95864327	16.65022251	19.48301679	18.67784691	18.18532102	19.09743819	16.43294224
RP11-189E14.5	9.05637717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.788481411	0	0	0	0	0	0	9.167310914	0	0	0	0	9.675369366	0	0	9.009819058	0	0	0	0	0	0	0	0	0	0
CASC23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNM1P41	6.753755348	0	0	0	7.472744726	0	0	0	0	0	0	0	0	7.046867444	7.499305099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.085143768	0	0	0	0	0	6.707547445	0	0	0	0	0	0	0	7.196572247	0	0
RP11-640I15.1	12.10060615	9.815497255	11.45815428	12.15836781	0	11.19067821	12.29458848	11.69127438	12.37036954	10.12474983	10.64814806	0	10.85356521	12.91062911	12.62909801	11.16147713	12.2116932	13.00971072	11.99889147	9.857582142	11.02516528	12.50184994	12.81819951	0	9.404653548	12.91029446	12.14475624	10.9897295	10.72127002	13.08667525	9.514364046	9.62176244	11.49832301	9.493636221	0	10.83202968	12.28154736	10.77432442	0	11.91323583	11.11586069	0	0	11.73972357	0	11.84425518
RMND5A	17.99248589	18.05005332	18.54148249	18.3818697	17.90590814	18.88066306	17.81751912	18.19737264	18.32554792	17.69775536	17.94818334	18.1780448	18.37961649	17.83826033	18.47049942	17.6809909	18.26956829	19.16963901	18.49014796	18.78105484	18.38482163	17.68405848	18.68474361	18.26735332	18.57987812	18.17449522	18.14893802	18.11435514	18.55657971	18.2583605	18.73331487	18.29007248	18.52353999	18.67982134	18.35891016	17.97009607	17.83830018	18.23141919	18.3680266	17.98145209	17.98506536	18.78310752	17.95778826	18.62006883	18.04458092	18.68874257
AC092301.3	12.45805973	10.39488531	11.84530658	11.00170846	11.59758211	11.770392	13.37685536	11.94919295	13.14281975	0	13.03469374	12.19438795	12.8923248	13.25604206	12.62405441	12.15611888	13.59877834	0	10.57940023	12.02125396	12.51152865	11.85951516	14.03543368	10.8243654	11.79020383	11.64247959	11.14003264	12.56917538	9.302619692	13.29460231	13.69795395	11.78521951	12.07807604	12.24177458	12.47155512	12.52687784	12.44639667	13.16093103	12.52900526	12.07807604	13.56971635	12.29969319	12.75407884	12.31950204	0	11.74612901
SNORA40	0	0	11.61544823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-114O18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.26224329	0	10.28815629	9.958226431	9.912102071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD23A	19.82165075	19.94238581	19.94993687	20.44974047	19.96301162	19.87597414	20.56508575	18.99109013	20.44866616	20.36379079	20.69636662	20.27397575	19.92708231	20.06649339	19.26689767	20.49241189	19.92293766	20.00265469	20.33358016	19.56596962	20.39170402	20.37313138	20.07663242	19.83607414	19.59709004	19.8410648	20.71858909	20.15048582	20.40625995	19.86183952	19.70596322	20.53976004	20.46305998	19.6807359	19.84196333	20.4783823	20.20207134	20.596013	20.09614171	20.56084471	20.11590076	20.18089036	20.06236271	20.23206382	20.18962615	19.83135987
RP11-642P15.1	9.991572909	11.42918877	10.23407468	10.27148973	10.35296423	9.941228865	10.69694715	10.4208321	11.04492882	10.65166156	12.83296538	10.72728314	12.05285762	10.76050909	11.74156151	10.49650844	10.67817662	11.06108052	12.0180473	11.81000024	11.07601064	11.46998983	11.30523536	11.85881014	11.48492306	11.58988562	10.48011033	10.02021752	11.20253119	10.96246327	11.53313258	11.19224827	10.52860895	11.18948382	11.32614297	11.13177801	10.68391132	11.97359196	10.38412096	11.08468973	13.15574552	11.12191291	10.94991629	9.853132239	11.86724698	10.95685865
U1	0	0	0	0	0	0	0	0	0	0	0	12.82042367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.57903167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2D2	0	0	0	0	0	0	0	0	0	0	8.691744958	10.0715438	0	0	0	0	0	9.053256957	0	0	9.652232374	0	8.692568916	9.286965762	0	0	0	8.449193997	8.764738829	0	8.557227984	9.662714101	0	0	9.93386168	0	0	0	0	0	0	0	0	0	0	0
SERPINB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.830718155	0	0	0	0	0	7.01310554	0	0	0	0	0	0	0	0	0
RP1-278O22.2	8.943428054	0	10.10652254	9.485709702	0	11.25326143	9.359109245	10.60237267	10.2115313	0	10.88054866	10.67765249	9.502347827	10.23728128	10.69235182	10.80922333	0	0	0	0	8.675577408	10.34292943	9.297940491	0	10.05145548	9.389906034	0	10.63749774	9.370168851	0	12.33016711	9.269840988	0	9.141761812	0	8.896877194	10.92956936	9.423175365	0	0	9.180308755	0	9.823117346	0	0	11.49193568
RP11-725G5.2	10.04139997	9.825628049	10.20597097	9.847832536	10.44341435	12.20050941	9.137082921	10.60237267	11.3104179	8.552484267	9.075105596	11.45489302	9.86447579	8.019264665	10.47010471	9.003877097	8.057033313	9.43679848	0	0	12.65932876	11.70482052	9.660001146	0	7.834039363	9.167871978	10.57056611	10.99986654	0	9.639030334	7.943442266	9.631891622	10.33915539	11.08740126	9.318823326	10.99409065	11.12212198	9.201133141	9.376195169	0	9.95687983	8.977608091	10.18533346	8.169500713	0	9.271378753
SIN3B	17.09854112	15.64654521	16.9307013	16.77202262	16.58680044	16.18847322	16.61971736	16.77769672	16.57333291	16.23115912	16.87376765	16.48579364	16.9947751	16.32408561	16.30265894	16.6616393	16.96678183	15.98923364	16.49205959	16.33067602	16.82378702	16.88201988	17.80887564	16.92994327	16.61708763	16.06482437	17.05818959	16.98889139	16.79785332	16.63256366	16.62161464	16.98611497	16.47553129	16.06912554	16.7107824	16.87776945	16.75061637	17.30454251	16.91658252	16.98403027	16.95932616	17.1017645	16.9816672	17.2364572	15.78629199	16.43309527
AC007611.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.13073896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00705	11.4891152	8.207121025	9.847543791	12.39465264	8.40978232	0	9.100305304	9.344429101	9.952534476	8.515739764	12.03592799	0	9.243503025	0	0	9.551107156	0	0	0	0	0	8.08789408	10.03778346	0	7.797359005	10.7143391	7.953642049	7.798886079	9.111361609	9.602233242	10.6632359	9.595094762	9.303482368	7.88608067	9.282037865	10.63551835	8.089935354	0	11.50759923	0	7.924533994	0	10.14852161	0	0	8.236988143
RPL7P17	10.53635801	10.47241215	11.11579272	10.49462542	9.676463581	9.264946335	0	10.61229542	9.22265997	0	10.30588998	0	0	9.248388731	0	11.23398479	0	9.668810364	0	0	10.26810683	9.353953714	10.30671528	10.90190668	10.06137527	0	0	0	10.37900003	9.286890304	12.62955033	0	0	10.15040457	10.54984674	9.905281852	9.355999383	11.01666054	0	0	9.190220816	0	0	0	0	9.503353011
TLL2	11.83294322	11.6227946	11.14642554	12.19084283	11.18240488	11.93997617	8.684789398	10.53446857	8.730727676	11.53645594	9.514248309	10.65411226	9.478825843	12.39722288	11.99020771	10.82872653	11.96129895	12.86081585	9.165638838	9.482062247	10.6162426	9.860384717	10.39869191	10.99390711	10.81583706	11.83589967	10.24880884	10.89133078	11.34498712	10.83684648	11.02425131	10.03382007	10.88556503	10.24237314	10.96358179	11.678088	10.81587751	9.74712075	11.6057447	10.47078171	10.90503948	12.07203659	9.924984806	11.54822524	9.768828046	10.59434431
CTC-360J11.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-344N17.8	0	0	0	10.91740155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.93729351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.97209388	0	0	0	0	0	0	0	0	0	0	0
CTSA	19.83609822	20.64683385	21.426982	19.66914061	19.76016626	20.48709058	20.18733337	20.8892793	20.47869555	19.78121761	20.19691434	21.52581281	20.1900969	19.38054481	19.09600877	19.62027915	19.21826733	18.92847317	21.73385159	20.1491748	20.40816721	20.44123	20.85154751	19.95458187	21.32877828	21.10607715	21.04857178	19.99753692	21.30883208	21.17430052	19.75871222	20.84313162	19.81484191	21.02235745	20.83780995	20.21111935	21.33979067	20.64929226	21.17410243	19.71375115	20.00834134	20.31217892	21.10677032	20.65954427	20.09024885	20.53348672
HCG4P5	18.84002804	16.93446706	13.98135574	11.03850715	14.83365467	17.93350562	14.93344973	15.94566927	13.51944952	18.76810083	20.33829313	18.14379083	16.78920469	18.85899198	15.88948473	14.90691165	16.42059703	17.2987046	13.72390455	19.60943334	18.36700392	13.75402871	15.41966028	17.57463887	19.33554163	17.93340668	15.26900332	17.14879613	17.92774255	18.92153485	17.04071417	14.65457306	14.72932171	13.73783032	18.37848646	17.19952621	19.32635445	17.41399761	17.23269847	19.38368754	15.1582492	13.8806396	14.2826119	13.84798712	16.91977367	18.69122163
IL32	21.17767316	20.93551224	20.34035436	20.13631994	20.32511015	19.13239206	21.15835747	19.49191005	19.84861554	20.94719665	20.17610584	22.00407755	19.68161576	20.64701603	18.67099317	19.58367595	19.55898316	19.95308299	20.97863737	18.41395611	19.37999182	19.99097693	20.05554939	20.22095171	19.53057907	20.53531304	20.27165116	19.9628357	20.75928542	20.67676664	20.26057363	20.20150274	20.41842198	20.84047384	19.94288781	19.84268143	20.8469962	18.83944846	20.55730182	20.50178634	20.77957369	19.41490646	20.80249477	20.5713738	21.55979914	19.08886023
