pathway	sample	count
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM39	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM3	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM40	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM41	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM42	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM43	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM44	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM45	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM46	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM47	1
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM48	1
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM49	1
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM4	2
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM50	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM51	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM52	1
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM53	1
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM54	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM55	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM56	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM57	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM58	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM59	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM5	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM60	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM61	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM62	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM63	5
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM64	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM65	2
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM66	1
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM67	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM68	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM69	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM6	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM70	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM71	1
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM72	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM73	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM74	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM75	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM76	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM77	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM78	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM7	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM8	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM9	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM10	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM11	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM12	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM13	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM14	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM15	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM16	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM17	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM18	1
KEGG_OTHER_GLYCAN_DEGRADATION	PGM19	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM1	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM20	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM21	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM22	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM23	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM24	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM25	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM26	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM27	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM28	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM29	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM2	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM30	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM31	1
KEGG_OTHER_GLYCAN_DEGRADATION	PGM32	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM33	2
KEGG_OTHER_GLYCAN_DEGRADATION	PGM34	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM35	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM36	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM37	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM38	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM39	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM3	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM40	1
KEGG_OTHER_GLYCAN_DEGRADATION	PGM41	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM42	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM43	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM44	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM45	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM46	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM47	1
KEGG_OTHER_GLYCAN_DEGRADATION	PGM48	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM49	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM4	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM50	1
KEGG_OTHER_GLYCAN_DEGRADATION	PGM51	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM52	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM53	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM54	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM55	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM56	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM57	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM58	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM59	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM5	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM60	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM61	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM62	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM63	1
KEGG_OTHER_GLYCAN_DEGRADATION	PGM64	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM65	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM66	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM67	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM68	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM69	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM6	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM70	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM71	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM72	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM73	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM74	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM75	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM76	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM77	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM78	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM7	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM8	0
KEGG_OTHER_GLYCAN_DEGRADATION	PGM9	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM10	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM11	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM12	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM13	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM14	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM15	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM16	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM17	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM18	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM19	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM1	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM20	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM21	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM22	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM23	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM24	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM25	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM26	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM27	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM28	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM29	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM2	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM30	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM31	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM32	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM33	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM34	2
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM35	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM36	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM37	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM38	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM39	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM3	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM40	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM41	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM42	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM43	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM44	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM45	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM46	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM47	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM48	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM49	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM4	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM50	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM51	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM52	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM53	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM54	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM55	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM56	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM57	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM58	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM59	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM5	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM60	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM61	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM62	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM63	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM64	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM65	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM66	1
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM67	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM68	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM69	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM6	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM70	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM71	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM72	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM73	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM74	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM75	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM76	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM77	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM78	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM7	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM8	0
KEGG_O_GLYCAN_BIOSYNTHESIS	PGM9	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM10	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM11	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM12	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM13	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM14	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM15	1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM16	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM17	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM18	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM19	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM1	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM20	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM21	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM22	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM23	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM24	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM25	1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM26	1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM27	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM28	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM29	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM2	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM30	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM31	1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM32	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM33	2
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM34	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM35	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM36	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM37	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM38	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM39	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM3	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM40	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM41	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM42	1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM43	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM44	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM45	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM46	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM47	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM48	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM49	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM4	1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM50	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM51	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM52	1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM53	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM54	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM55	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM56	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM57	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM58	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM59	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM5	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM60	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM61	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM62	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM63	1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM64	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM65	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM66	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM67	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM68	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM69	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM6	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM70	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM71	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM72	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM73	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM74	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM75	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM76	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM77	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM78	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM7	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM8	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	PGM9	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM10	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM11	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM12	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM13	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM14	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM15	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM16	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM17	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM18	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM19	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM1	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM20	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM21	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM22	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM23	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM24	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM25	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM26	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM27	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM28	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM29	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM2	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM30	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM31	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM32	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM33	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM34	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM35	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM36	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM37	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM38	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM39	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM3	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM40	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM41	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM42	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM43	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM44	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM45	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM46	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM47	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM48	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM49	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM4	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM50	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM51	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM52	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM53	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM54	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM55	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM56	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM57	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM58	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM59	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM5	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM60	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM61	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM62	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM63	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM64	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM65	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM66	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM67	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM68	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	PGM69	0
