aaa	T01445	Acidovorax avenae
abz	T01820	Acinetobacter baumannii MDR-ZJ06
aca	T00868	Acidobacterium capsulatum
acad	T04639	Actinoalloteichus sp. ADI127-7
acal	T05452	Acinetobacter calcoaceticus
acan	T02667	Acanthamoeba castellanii
acav	T05190	Aeromonas caviae
acb	T00486	Acinetobacter baumannii ATCC 17978
acc	T01684	Acinetobacter pittii
acd	T01263	Acinetobacter oleivorans
ace	T00426	Acidothermus cellulolyticus
acep	T04923	Atta cephalotes (leaf cutting ant)
acet	T05544	Acetobacter sp. JWB
acf	T02396	Aciduliprofundum sp. MAR08-339
acg	T04262	Aerococcus christensenii
ach	T00834	Pseudarthrobacter chlorophenolicus
achb	T05703	Achromobacter sp. B7
achr	T05288	Achromobacter sp. AONIH1
aci	T00185	Acinetobacter baylyi
acia	T05595	Acidilobus sp. 7A
acid	T04914	Acidovorax carolinensis NA2
acii	T05469	Acidiferrobacter sp. SPIII_3
acij	T05538	Acidipropionibacterium virtanenii
acin	T04997	Acidovorax carolinensis NA3
acio	T05680	Acidovorax sp. 1608163
acip	T04962	Acidovorax carolinensis P4
acis	T04998	Acidovorax carolinensis P3
acj	T02858	Aeropyrum camini
ack	T02290	Acidovorax sp. KKS102
acl	T00659	Acholeplasma laidlawii
acm	T01411	Granulicella tundricola
acn	T01133	Anaplasma centrale
aco	T01202	Aminobacterium colombiense
acom	T05456	Azoarcus communis
acp	T00833	Anaeromyxobacter dehalogenans 2CP-1
acq	T04083	Actinomyces sp. oral taxon 414
acr	T00527	Acidiphilium cryptum
acra	T04481	Acidovorax sp. RAC01
acry	T05322	Arthrobacter crystallopoietes
acs	T01608	Anolis carolinensis (green anole)
act	T01148	Aspergillus clavatus
acta	T05306	Actinoalloteichus sp. AHMU CJ021
actc	T05279	Actinomyces sp. Chiba101
acti	T04619	Actinoalloteichus sp. GBA129-24
actn	T02655	Actinoplanes sp. N902-109
acto	T05399	Actinomyces sp. oral taxon 897
actp	T04911	Actinomyces gaoshouyii
acts	T05392	Actinoplanes sp. SE50
actt	T05430	Actinobaculum sp. 313
acu	T01581	Acidithiobacillus caldus SM-1
acun	T05777	Athene cunicularia (burrowing owl)
acv	T04425	Acinetobacter sp. TGL-Y2
acw	T04353	Acinetobacter sp. DUT-2
acx	T03640	Azotobacter chroococcum
acy	T02435	Anabaena cylindrica
acyg	T04896	Anser cygnoides domesticus (swan goose)
acz	T03561	Acidithiobacillus caldus ATCC 51756
ade	T00326	Anaeromyxobacter dehalogenans 2CP-C
adf	T04352	Acropora digitifera (stony coral)
adg	T00994	Ammonifex degensii
adh	T05186	Aeromonas dhakensis
adi	T02259	Alcanivorax dieselolei
adk	T01463	Alicycliphilus denitrificans K601
adl	T03129	Auricularia subglabra
adn	T01397	Alicycliphilus denitrificans BC
ado	T04466	Altererythrobacter dongtanensis
adt	T04244	Achromobacter denitrificans
adu	T04300	Arachis duranensis
adv	T05474	Acinetobacter defluvii
aea	T05427	Aeromonas sp. ASNIH3
aeb	T05642	Aeromicrobium sp. A1-2
aec	T03917	Acromyrmex echinatior (Panamanian leafcutter ant)
aeh	T00391	Alkalilimnicola ehrlichii
aei	T04103	Acinetobacter equi
aem	T05327	Aeromonas sp. CU5
aen	T05672	Arsenophonus endosymbiont of Aleurodicus dispersus
aeo	T04990	Aeromonas salmonicida O23A
aep	T04070	Altererythrobacter epoxidivorans
aeq	T02875	Adlercreutzia equolifaciens
aer	T04236	Aeromicrobium erythreum
aes	T05873	Aeromonas sp. ASNIH5
aeu	T03501	Actinobacillus equuli
aev	T05794	Aequorivita sp. H23M31
aex	T01378	Asticcacaulis excentricus
aey	T05020	Actinopolyspora erythraea
aez	T05410	Aeromicrobium sp. 592
afa	T04157	Alcaligenes faecalis ZD02
afd	T02133	Alistipes finegoldii
afe	T00758	Acidithiobacillus ferrooxidans ATCC 53993
afg	T03231	Archaeoglobus fulgidus DSM 8774
afi	T01595	Acidithiobacillus ferrivorans
afj	T05847	Acidithiobacillus ferridurans
afl	T00790	Anoxybacillus flavithermus
afm	T01017	Aspergillus fumigatus
afn	T01151	Acidaminococcus fermentans
afo	T00956	Acidimicrobium ferrooxidans
afq	T05446	Alcaligenes faecalis JQ135
afr	T00810	Acidithiobacillus ferrooxidans ATCC 23270
afs	T02892	Actinoplanes friuliensis
aft	T05768	Anoxybacter fermentans
afu	T00011	Archaeoglobus fulgidus DSM 4304
afv	T01090	Aspergillus flavus
afw	T00559	Anaeromyxobacter sp. Fw109-5
aga	T01036	Anopheles gambiae (mosquito)
agc	T04501	Agrobacterium sp. RAC06
age	T03948	Archangium gephyra
agf	T05835	Agromyces sp. FW100M-8
agg	T05973	Agrococcus sp. SGAir0287
agl	T04551	Akkermansia glycaniphila
agm	T05411	Agromyces sp. MF30-A
agn	T04000	Anoxybacillus gonensis
ago	T00167	Ashbya gossypii (Eremothecium gossypii)
agr	T01432	Agrobacterium sp. H13-3
ags	T05869	Aphis gossypii (cotton aphid)
agt	T05906	Agrobacterium sp. 33MFTa1.1
agw	T03835	Archaeon GW2011_AR10
agy	T04413	Agromyces aureus
aha	T00424	Aeromonas hydrophila subsp. hydrophila ATCC 7966
ahd	T03186	Aeromonas hydrophila YL17
ahe	T01242	Arcanobacterium haemolyticum
ahg	T04975	Actinoalloteichus hoggarensis
ahh	T03748	Aeromonas hydrophila AL06-06
ahi	T03886	Aeromonas hydrophila AH10
ahj	T03574	Aeromonas hydrophila J-1
ahl	T04618	Acinetobacter haemolyticus
ahm	T04472	Actinoalloteichus hymeniacidonis
ahn	T05790	Atlantibacter hermannii
aho	T01493	Acidianus hospitalis
ahp	T03193	Aeromonas hydrophila pc104A
ahr	T03192	Aeromonas hydrophila AL09-71
ahs	T05822	Arcobacter halophilus
aht	T04983	Antarctobacter heliothermus
ahu	T04409	Azospirillum humicireducens
ahy	T02683	Aeromonas hydrophila ML09-119
ahz	T04100	Algibacter alginicilyticus
aid	T05342	Acinetobacter indicus
ain	T01639	Acidaminococcus intestini
aio	T05940	Actinobacillus indolicus
aip	T04301	Arachis ipaensis
ais	T04671	Achromobacter insolitus
aja	T03225	Amycolatopsis japonica
aje	T02229	Histoplasma capsulatum
aji	T05836	Acidipropionibacterium jensenii
ajn	T04674	Acinetobacter junii
ajo	T04178	Acinetobacter johnsonii
ajs	T00455	Acidovorax sp. JS42
aju	T04657	Acinonyx jubatus (cheetah)
aka	T02117	Advenella kashmirensis
ala	T04708	Acinetobacter larvae
alb	T05671	Altererythrobacter sp. B11
alc	T05220	Acinetobacter lactucae
ale	T05687	Alteromonas sp. Mac1
ali	T01658	Azospirillum lipoferum
alm	T04334	Algoriphagus sp. M8-2
aln	T03879	Alcanivorax sp. NBRC 101098
alo	T04489	Alloactinosynnema sp. L-07
alp	T04722	Arcobacter sp. LPB0137
alr	T05653	Alteromonas sp. RKMC-009
als	T05496	Arcticibacterium luteifluviistationis
alt	T01513	Alteromonas naphthalenivorans
alv	T01168	Allochromatium vinosum
aly	T01578	Arabidopsis lyrata (lyrate rockcress)
alz	T05899	Alteromonas sp. Mac2
ama	T00216	Anaplasma marginale St. Maries
amaa	T02340	Alteromonas mediterranea DE1
amac	T02246	Alteromonas macleodii ATCC 27126
amad	T02723	Alteromonas mediterranea UM4b
amae	T02721	Alteromonas mediterranea U7
amag	T02958	Alteromonas mediterranea MED64
amah	T05698	Aquitalea magnusonii
amai	T02724	Alteromonas mediterranea UM7
amal	T02720	Alteromonas mediterranea U4
aman	T04836	Acidianus manzaensis
amao	T02722	Alteromonas mediterranea U8
amb	T02253	Alteromonas macleodii Balearic Sea AD45
amc	T00747	Alteromonas mediterranea DE
amd	T01269	Amycolatopsis mediterranei U32
ame	T01057	Apis mellifera (honey bee)
amed	T03075	Aeromonas media
amex	T05042	Astyanax mexicanus (Mexican tetra)
amf	T00855	Anaplasma marginale Florida
amg	T02254	Alteromonas macleodii English Channel 673
amh	T02719	Alteromonas mediterranea 615
ami	T00957	Actinosynnema mirum
amih	T05420	Aminobacter sp. MSH1
amij	T05806	Aminipila sp. JN-39
amim	T03016	Advenella mimigardefordensis
amin	T05175	Aurantimicrobium minutum
amj	T03087	Alligator mississippiensis (American alligator)
amk	T02260	Alteromonas macleodii Black Sea 11
aml	T01329	Ailuropoda melanoleuca (giant panda)
amm	T02190	Amycolatopsis mediterranei S699
amn	T01822	Amycolatopsis mediterranei S699
amo	T02151	Acetomicrobium mobile
amp	T02900	Anaplasma marginale Gypsy Plains
amq	T03230	Amycolatopsis methanolica
amr	T00617	Acaryochloris marina
ams	T01795	Actinoplanes missouriensis
amt	T00551	Alkaliphilus metalliredigens
amu	T00736	Akkermansia muciniphila
amv	T01446	Acidiphilium multivorum
amw	T02898	Anaplasma marginale Dawn
amx	T03951	Altererythrobacter marensis
amy	T04027	Schaalia meyeri
amyb	T05296	Amycolatopsis sp. BJA-103
amyc	T05278	Amycolatopsis sp. AA4
amyt	T05895	Arcobacter mytili
amz	T02804	Amycolatopsis mediterranei RB
ana	T00069	Nostoc sp. PCC 7120
anb	T02341	Anabaena sp. 90
ane	T05566	Actinomyces naeslundii
ang	T01030	Aspergillus niger
anh	T04447	Altererythrobacter namhicola
ani	T01016	Aspergillus nidulans
ank	T00748	Anaeromyxobacter sp. K
anl	T04426	Anoxybacillus sp. B7M1
anm	T04370	Anoxybacillus sp. B2M1
ano	T04196	Acinetobacter nosocomialis
ant	T01235	Arcobacter nitrofigilis
anx	T04247	Aneurinibacillus sp. XH2
aoa	T04423	Azoarcus olearius
aoc	T03695	Acholeplasma oculi
aoe	T00607	Alkaliphilus oremlandii
aof	T05243	Asparagus officinalis (garden asparagus)
aoh	T05659	Anaplasma ovis
aoi	T02678	Amycolatopsis orientalis
aol	T02484	Bradyrhizobium oligotrophicum
aon	T05429	Aquabacterium olei
aor	T01018	Aspergillus oryzae
aos	T04280	Actinomyces oris
apa	T00717	Actinobacillus pleuropneumoniae AP76 (serotype 7)
apac	T03580	Alcanivorax pacificus
apag	T05728	Avibacterium paragallinarum
apak	T04993	Aeribacillus pallidus
apal	T03096	Acholeplasma palmae
apb	T01207	Candidatus Puniceispirillum marinum
apc	T02249	Alpha proteobacterium HIMB59
apd	T02752	Anaplasma phagocytophilum Dog2
ape	T00023	Aeropyrum pernix
aper	T04751	Acetobacter persici
apf	T01812	Acetobacter pasteurianus IFO 3283-03
apg	T01814	Acetobacter pasteurianus IFO 3283-12
aph	T00327	Anaplasma phagocytophilum HZ
apha	T02754	Anaplasma phagocytophilum JM
api	T01076	Acyrthosiphon pisum (pea aphid)
apj	T00644	Actinobacillus pleuropneumoniae JL03 (serotype 3)
apk	T02786	Acetobacter pasteurianus 386B
apl	T00476	Actinobacillus pleuropneumoniae L20 (serotype 5b)
apla	T02816	Anas platyrhynchos (mallard)
aplc	T05078	Acanthaster planci (crown-of-thorns starfish)
apm	T02250	Alpha proteobacterium HIMB5
apn	T01435	Pseudarthrobacter phenanthrenivorans
apo	T01152	Archaeoglobus profundus
apom	T05180	Acetobacter pomorum
apor	T05443	Actinobacillus porcitonsillarum
app	T00966	Accumulibacter phosphatis
apq	T01815	Acetobacter pasteurianus IFO 3283-22
apr	T00964	Anaerococcus prevotii
apre	T05092	Actinosynnema pretiosum
apro	T04132	Auxenochlorella protothecoides
aprs	T04495	Acidihalobacter prosperus
aps	T00792	Candidatus Azobacteroides pseudotrichonymphae (Coptotermes formosanus)
apt	T00988	Acetobacter pasteurianus IFO 3283-01
apu	T01813	Acetobacter pasteurianus IFO 3283-07
apv	T00983	Atopobium parvulum
apw	T01818	Acetobacter pasteurianus IFO 3283-01-42C
apx	T01816	Acetobacter pasteurianus IFO 3283-26
apy	T02753	Anaplasma phagocytophilum HZ2
apz	T01817	Acetobacter pasteurianus IFO 3283-32
aqa	T05625	Aquimarina sp. AD1
aqb	T05615	Aquimarina sp. BL5
aqd	T05712	Aquimarina sp. AD10
aql	T04696	Aquaspirillum sp. LM1
aqs	T05865	Aquitalea sp. USM4
aqu	T02284	Amphimedon queenslandica (sponge)
ara	T00850	Agrobacterium radiobacter
arb	T04406	Arachidicoccus sp. BS20
arc	T01834	Arcobacter sp. L
ard	T04288	Actinomyces radicidentis
are	T04085	Arthrobacter sp. ERGS1:01
arf	T05962	Anaerostipes rhamnosivorans
arg	T03843	Archaeon GW2011_AR20
arh	T04181	Arthrobacter sp. Hiyo8
ari	T03775	Psychromicrobium lacuslunae
arj	T05620	Acinetobacter radioresistens
ark	T05648	Arachidicoccus sp. KIS59-12
arl	T04078	Arthrobacter sp. LS16
arm	T03487	Arthrobacter sp. PAMC 25486
arn	T05171	Arthrobacter sp. YN
aro	T04767	Agrobacterium rhizogenes
arp	T02608	Arthrospira platensis
arq	T05056	Arthrobacter sp. QXT-31
arr	T02215	Arthrobacter sp. Rue61a
ars	T04014	Arsenicicoccus sp. oral taxon 190
art	T00421	Arthrobacter sp. FB24
arth	T05450	Arthrobacter sp. PGP41
aru	T05053	Arthrobacter sp. U41
arv	T05453	Aeromonas rivipollensis
arw	T04228	Arthrobacter alpinus A3
arx	T05201	Arthrobacter sp. ZXY-2
ary	T04187	Arthrobacter sp. YC-RL1
arz	T04477	Arthrobacter sp. ATCC 21022
asa	T00500	Aeromonas salmonicida subsp. salmonicida A449
asan	T04253	Aerococcus sanguinicola
asb	T01624	Candidatus Arthromitus sp. SFB-rat-Yit
asc	T01283	Acidilobus saccharovorans
asd	T01514	Hoyosella subflava
ase	T02044	Actinoplanes sp. SE50/110
asf	T01591	Candidatus Arthromitus sp. SFB-mouse-Japan
asg	T03214	Actinotignum schaalii
ash	T02578	Alistipes shahii
asi	T02262	Actinobacillus suis H91-0380
asj	T04787	Acinetobacter schindleri
ask	T05743	Arcobacter skirrowii
asl	T02132	Aequorivita sublithincola
asm	T01857	Candidatus Arthromitus sp. SFB-mouse-Yit
asn	T02922	Alligator sinensis (Chinese alligator)
aso	T03243	Candidatus Arthromitus sp. SFB-mouse-NL
asoc	T05174	Aneurinibacillus soli
asol	T04684	Acinetobacter soli
asp	T04153	Alteromonas stellipolaris LMG 21856
asq	T04545	Alteromonas stellipolaris LMG 21861
asr	T04186	Aeromonas schubertii
ass	T03246	Actinobacillus suis ATCC 33415
ast	T02642	Archaeoglobus sulfaticallidus
asu	T00558	Actinobacillus succinogenes
asul	T05487	Acidianus sulfidivorans
asv	T04478	Acetobacter oryzifermentans
asw	T05274	Achromobacter spanius
asx	T04906	Alkalitalea saponilacus
asy	T04248	Candidatus Arsenophonus lipoptenae
asz	T04217	Acetobacter senegalensis
ata	T04213	Agrobacterium tumefaciens S33
ate	T00857	Caldicellulosiruptor bescii
atf	T03816	Agrobacterium tumefaciens Ach5
ath	T00041	Arabidopsis thaliana (thale cress)
ati	T04091	Azospirillum thiophilum
atm	T01410	Anaerolinea thermophila
ato	T05181	Acetobacter tropicalis
atr	T02990	Amborella trichopoda
ats	T04345	Aegilops tauschii (wheat D)
att	T04075	Acinetobacter sp. TTH0-4
atu	T00070	Agrobacterium fabrum
atw	T05265	Azoarcus sp. SY39
aua	T04161	Aureimonas sp. AU20
aue	T05335	Aureitalea sp. RR4-38
auh	T04284	Aerococcus urinaehominis
aui	T04249	Aerococcus urinaeequi
aul	T05590	Auritidibacter sp. NML130574
aum	T05480	Aurantimicrobium sp. MWH-Mo1
aun	T04528	Aerococcus urinae CCUG36881
aur	T01447	Aerococcus urinae ACS-120-V-Col10a
auw	T05539	Aurantimicrobium sp. MWH-Uga1
ava	T00277	Trichormus variabilis
avd	T02634	Azotobacter vinelandii CA6
ave	T01451	Archaeoglobus veneficus
avi	T00851	Agrobacterium vitis
avl	T02633	Azotobacter vinelandii CA
avn	T00885	Azotobacter vinelandii DJ
avo	T04529	Aeromonas veronii TH0426
avr	T01462	Aeromonas veronii B565
avs	T04270	Aerococcus viridans
avu	T04541	Actinomyces tangfeifanii
awa	T04059	Anabaena sp. wa102
awd	T03808	Aliivibrio wodanis
awo	T01732	Acetobacterium woodii
awu	T05823	Acinetobacter wuhouensis
axe	T04770	Alcanivorax xenomutans
axl	T02266	Amphibacillus xylanus
axn	T02964	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061
axo	T02785	Achromobacter xylosoxidans NH44784-1996
axx	T04522	Achromobacter xylosoxidans NCTC10807
axy	T01341	Achromobacter xylosoxidans A8
aym	T02501	Ilumatobacter coccineus
ayw	T00314	Aster yellows witches'-broom phytoplasma AYWB
aza	T02502	Azoarcus sp. KH32C
azc	T00609	Azorhizobium caulinodans
azd	T05691	Azoarcus sp. DN11
azi	T04019	Azoarcus sp. CIB
azl	T01169	Azospirillum sp. B510
azm	T05500	Azospirillum sp. M2T2B2
azo	T00441	Azoarcus sp. BH72
azt	T05449	Azospirillum sp. TSH58
azz	T05917	Azospirillum sp. CFH 70021
baa	T01704	Brucella abortus A13334
baab	T04673	Bacterium AB1
bab	T00111	Buchnera aphidicola Bp (Baizongia pistaciae)
babb	T03462	Brucella abortus BDW
babc	T03686	Brucella abortus NCTC 10505
babo	T03321	Brucella abortus bv. 2 86/8/59
babr	T03392	Brucella abortus bv. 6 870
babs	T03685	Brucella abortus BER
babt	T03461	Brucella abortus 63 75
babu	T03474	Brucella abortus bv. 9 C68
bac	T00684	Burkholderia ambifaria MC40-6
bacb	T03582	Bacillus sp. BH072
bacc	T02861	Bacteroidales bacterium CF
baci	T02643	Bacillus sp. 1NLA3E
bacl	T03833	Bacillus sp. BS34A
baco	T03635	Bacillus sp. OxB-1
bacp	T03544	Bacillus sp. Pc3
bacq	T05922	Bacillus sp. Y1
bacs	T05207	Bacillus sp. SDLI1
bact	T04036	Bifidobacterium actinocoloniiforme
bacu	T03086	Balaenoptera acutorostrata scammoni (minke whale)
bacw	T03530	Bacillus sp. WP8
bacy	T03701	Bacillus sp. YP1
bad	T00437	Bifidobacterium adolescentis ATCC 15703
badl	T03260	Bifidobacterium adolescentis 22L
bado	T03774	Bifidobacterium adolescentis BBMN23
bae	T01339	Bacillus atrophaeus 1942
baf	T00383	Borrelia afzelii (FLI)
bafe	T03895	Borreliella afzelii K78
bafh	T02298	Borrelia afzelii HLJ01
baft	T03256	Borreliella afzelii Tom3107
bafz	T02093	Borrelia afzelii (Maryland)
bag	T01628	Bacillus coagulans 36D1
bagr	T05855	Brevibacillus agri
bah	T00886	Bacillus anthracis CDC 684
bai	T00892	Bacillus anthracis A0248
baj	T01528	Buchnera aphidicola (Cinara tujafilina)
bajc	T02354	Buchnera aphidicola JF99 (Acyrthosiphon pisum)
bak	T01825	Buchnera aphidicola Ak (Acyrthosiphon kondoi)
bal	T01279	Bacillus cereus biovar anthracis CI
balm	T03908	Bacillus sp. LM 4-2
balt	T05199	Bacillus altitudinis
bam	T00398	Burkholderia ambifaria AMMD
bama	T02795	Bacillus velezensis UCMB5033
bamb	T02859	Bacillus velezensis NAU-B3
bamc	T02893	Bacillus amyloliquefaciens CC178
bamf	T02965	Bacillus amyloliquefaciens LFB112
bami	T02462	Bacillus amyloliquefaciens IT-45
baml	T02480	Bacillus velezensis UCMB5036
bamn	T02796	Bacillus velezensis UCMB5113
bamp	T02382	Bacillus velezensis AS43.3
bamt	T03161	Bacillus velezensis TrigoCor1448
bamy	T03384	Bacillus velezensis SQR9
ban	T00129	Bacillus anthracis Ames
bana	T05525	Candidatus Bipolaricaulis anaerobius
banc	T04086	Bartonella ancashensis
bane	T04727	Borrelia anserina
bang	T03930	Bifidobacterium angulatum
banh	T03394	Bacillus anthracis HYU01
bani	T02712	Bifidobacterium animalis subsp. lactis Bl12
banl	T02862	Bifidobacterium animalis subsp. lactis ATCC 27673
banm	T03481	Bifidobacterium animalis RH
banr	T02999	Bacillus anthracis A16R
bans	T03162	Bacillus anthracis SVA11
bant	T02998	Bacillus anthracis A16
banv	T03475	Bacillus anthracis Vollum
bao	T01321	Bacillus amyloliquefaciens DSM 7
bap	T00820	Buchnera aphidicola 5A (Acyrthosiphon pisum)
bapf	T03020	Buchnera aphidicola F009 (Myzus persicae)
bapg	T03021	Buchnera aphidicola G002 (Myzus persicae)
baph	T04764	Buchnera aphidicola (Aphis glycines)
bapi	T05086	Bartonella apis
bapu	T03022	Buchnera aphidicola USDA (Myzus persicae)
bapw	T03023	Buchnera aphidicola W106 (Myzus persicae)
baq	T01692	Bacillus velezensis CAU B946
bar	T00178	Bacillus anthracis Ames Ancestor
bara	T05185	Bartonella sp. A1379B
barb	T04066	Candidatus Bathyarchaeota archaeon BA2
barc	T04065	Candidatus Bathyarchaeota archaeon BA1
barj	T05552	Bartonella sp. JB63
baro	T05463	Bartonella sp. 1-1C
barr	T05326	Bartonella sp. Raccoon60
bart	T05113	Bartonella sp. JB15
barw	T05203	Bartonella sp. WD16.2
bas	T00087	Buchnera aphidicola Sg (Schizaphis graminum)
bast	T02271	Bifidobacterium asteroides
bat	T00184	Bacillus anthracis Sterne
bau	T00821	Buchnera aphidicola Tuc7 (Acyrthosiphon pisum)
baus	T02469	Bartonella australis
bav	T00695	Bordetella avium
baw	T01826	Buchnera aphidicola JF98 (Acyrthosiphon pisum)
bax	T02028	Bacillus anthracis H9401
bay	T00582	Bacillus velezensis FZB42
baz	T01824	Bacillus amyloliquefaciens TA208
bba	T00159	Bdellovibrio bacteriovorus HD100
bbac	T03079	Bdellovibrio bacteriovorus 109J
bbag	T03654	Burkholderiales bacterium GJ-E10
bbat	T02356	Bdellovibrio bacteriovorus Tiberius
bbau	T04336	Bacteroidetes bacterium
bbay	T04607	Burkholderiales bacterium YL45
bbb	T01840	Bifidobacterium animalis subsp. lactis BB-12
bbc	T01841	Bifidobacterium animalis subsp. lactis BLC1
bbd	T02134	Belliella baltica
bbe	T00879	Brevibacillus brevis
bbev	T05114	Bacillus beveridgei
bbf	T02135	Bifidobacterium bifidum BGN4
bbg	T02109	Blattabacterium sp. (Blaberus giganteus)
bbgw	T03992	Berkelbacteria bacterium GW2011_GWE1_39_12
bbh	T02344	Bordetella bronchiseptica 253
bbi	T01328	Bifidobacterium bifidum S17
bbj	T02081	Borreliella burgdorferi JD1
bbk	T00456	Bartonella bacilliformis
bbl	T00995	Blattabacterium sp. (Blattella germanica) Bge
bbm	T02295	Bordetella bronchiseptica MO149
bbn	T02075	Borreliella burgdorferi N40
bbo	T01085	Babesia bovis
bbp	T01340	Bifidobacterium bifidum PRL2010
bbq	T02446	Blattabacterium sp. (Blatta orientalis)
bbr	T00141	Bordetella bronchiseptica RB50
bbrc	T03121	Bifidobacterium breve JCM 7019
bbrd	T04525	Bifidobacterium breve DSM 20213 = JCM 1192
bbre	T03118	Bifidobacterium breve 12L
bbrj	T03120	Bifidobacterium breve JCM 7017
bbrn	T03122	Bifidobacterium breve NCFB 2258
bbro	T04591	Bordetella bronchialis
bbrs	T03123	Bifidobacterium breve S27
bbru	T02534	Bifidobacterium breve UCC2003
bbrv	T03119	Bifidobacterium breve 689b
bbs	T01593	Borreliella bissettii
bbt	T00528	Bradyrhizobium sp. BTAi1
bbu	T00012	Borreliella burgdorferi B31
bbub	T05912	Bubalus bubalis (water buffalo)
bbur	T02794	Borrelia burgdorferi CA382
bbv	T01844	Bifidobacterium breve ACS-071-V-Sch8b
bbw	T03036	Bdellovibrio bacteriovorus W
bbx	T03637	Bordetella bronchiseptica S798
bby	T03597	Bacillus bombysepticus
bbz	T00807	Borreliella burgdorferi ZS7
bca	T00162	Bacillus cereus ATCC 10987
bcac	T05064	Bacteroides caccae
bcae	T05202	Bacteroides caecimuris
bcai	T04141	Paraburkholderia caribensis
bcar	T03270	Brucella canis RM6/66
bcas	T03305	Brucella canis SVA13
bcat	T03931	Bifidobacterium catenulatum
bcb	T00805	Bacillus cereus B4264
bcc	T00423	Buchnera aphidicola BCc
bcd	T01394	Bartonella clarridgeiae
bce	T00127	Bacillus cereus ATCC 14579
bced	T03302	Burkholderia cepacia DDS 7H-2
bcee	T02935	Brucella ceti TE28753-12
bcef	T03417	Bacillus cereus FT9
bcel	T04116	Bacteroides cellulosilyticus
bcen	T03308	Burkholderia cenocepacia DDS 22E-1
bceo	T03804	Burkholderia cenocepacia H111
