ID	Herb	Dosage	Unit
69307.1	桂枝		
69307.1	甘草		
69307.1	大枣		
69307.1	芍药		
69874.1	白术		
69874.1	桂枝		
69874.1	甘草		
69874.1	茯苓		
71321.1	瓜蒌		
71321.1	黄连		
71321.1	半夏		
69288.1	麻黄		
69288.1	桂枝		
69288.1	甘草		
69288.1	杏仁		
68606.1	黄连		
68606.1	甘草		
68606.1	黄芩		
68606.1	葛根		
68741.1	麻黄		
68741.1	桂枝		
68741.1	细辛		
68741.1	甘草		
68741.1	五味子		
68741.1	芍药		
68741.1	半夏		
68741.1	干姜		
70171.1	猪苓		
70171.1	白术		
70171.1	泽泻		
70171.1	桂枝		
70171.1	茯苓		
68603.1	麻黄		
68603.1	生姜		
68603.1	桂枝		
68603.1	葛根		
68603.1	半夏		
68603.1	甘草		
68603.1	大枣		
68603.1	芍药		
71521.1	黄连		
71521.1	生姜		
71521.1	甘草		
71521.1	大枣		
71521.1	黄芩		
71521.1	半夏		
71521.1	干姜		
71521.1	人参		
69054.1	大枣	12	
69054.1	甘草	2	
69054.1	桂枝	3	
69054.1	芍药	3	
69054.1	生姜	3	
70315.1	生姜		
70315.1	桂枝		
70315.1	甘草		
70315.1	大枣		
70315.1	芍药		
69654.1	桂枝		
69654.1	大枣		
69654.1	芍药		
69654.1	生姜		
69654.1	人参		
69654.1	甘草		
70599.1	生姜		
70599.1	柴胡		
70599.1	甘草		
70599.1	大枣		
70599.1	黄芩		
70599.1	半夏		
70599.1	人参		
73653.1	葶苈子		
73653.1	大黄		
73653.1	杏仁		
73653.1	芒硝		
71317.1	甘遂		
71317.1	大黄		
71317.1	芒硝		
71643.1	甘草		
71643.1	桂枝		
71643.1	白术		
71643.1	干姜		
71643.1	人参		
69285.1	生姜		
69285.1	桂枝		
69285.1	甘草		
69285.1	大枣		
69285.1	芍药		
69301.1	麻黄		
69301.1	桂枝		
69301.1	甘草		
69301.1	杏仁		
70150.1	甘草		
70150.1	芒硝		
70150.1	大黄		
71647.1	甘草		
71647.1	石膏		
71647.1	知母		
71647.1	粳米		
71647.1	人参		
71943.1	生姜		
71943.1	桂枝		
71943.1	甘草		
71943.1	大枣		
71943.1	阿胶		
71943.1	麦冬		
71943.1	生地		
71943.1	人参		
71943.1	火麻仁		
71342.1	生姜		
71342.1	柴胡		
71342.1	甘草		
71342.1	大枣		
71342.1	黄芩		
71342.1	半夏		
71342.1	人参		
68622.1	麻黄		
68622.1	桂枝		
68622.1	甘草		
68622.1	杏仁		
65858.1	干姜		
65858.1	甘草		
71633.1	赤石脂		
71633.1	禹余粮		
70144.1	人参		
70144.1	干姜		
70144.1	附子		
70144.1	茯苓		
70144.1	甘草		
70153.1	猪苓		
70153.1	白术		
70153.1	泽泻		
70153.1	桂枝		
70153.1	茯苓		
68735.1	麻黄		
68735.1	桂枝		
68735.1	细辛		
68735.1	甘草		
68735.1	五味子		
68735.1	芍药		
68735.1	半夏		
68735.1	干姜		
64546.1	大枣	12	
64546.1	甘草	3	
64546.1	桂枝	3	
64546.1	生姜	3	
64546.1	附子	1	
64374.1	大枣	12	
64374.1	芍药	2	
64374.1	葛根	4	
64374.1	甘草	2	
64374.1	桂枝	2	
64374.1	麻黄	3	
64374.1	生姜	3	
70300.1	栀子		
70300.1	淡豆豉		
71932.1	黄连		
71932.1	桂枝		
71932.1	甘草		
71932.1	大枣		
71932.1	半夏		
71932.1	干姜		
71932.1	人参		
69641.1	生姜		
69641.1	桂枝		
69641.1	甘草		
69641.1	大枣		
69641.1	芍药		
69641.1	柴胡		
69641.1	黄芩		
69641.1	半夏		
69641.1	人参		
71159.1	大黄		
71159.1	芒硝		
71159.1	甘遂		
71935.1	白术		
71935.1	桂枝		
71935.1	甘草		
71935.1	附子		
71354.1	生姜		
71354.1	桂枝		
71354.1	柴胡		
71354.1	半夏		
71354.1	甘草		
71354.1	大枣		
71354.1	黄芩		
71354.1	芍药		
71354.1	人参		
65861.1	甘草		
65861.1	芒硝		
65861.1	大黄		
64372.1	大枣	12	
64372.1	甘草	2	
64372.1	桂枝	3	
64372.1	芍药	3	
64372.1	生姜	3	
71650.1	甘草		
71650.1	石膏		
71650.1	知母		
71650.1	粳米		
71650.1	人参		
70587.1	生姜		
70587.1	桂枝		
70587.1	甘草		
70587.1	芍药		
69855.1	桂枝		
69855.1	甘草		
69855.1	大枣		
69855.1	茯苓		
73672.1	生姜		
73672.1	柴胡		
73672.1	大枣		
73672.1	芍药		
73672.1	半夏		
73672.1	大黄		
73672.1	枳实		
71644.1	生姜		
71644.1	桂枝		
71644.1	甘草		
71644.1	大枣		
71644.1	芍药		
70168.1	甘草		
70168.1	桂枝		
70168.1	茯苓		
71513.1	甘遂		
71513.1	芫花		
71513.1	大戟		
70692.1	生姜		
70692.1	桂枝		
70692.1	甘草		
70692.1	大枣		
70692.1	芍药		
70692.1	饴糖		
70314.1	甘草		
70314.1	干姜		
70314.1	附子		
70308.1	栀子		
70308.1	淡豆豉		
70308.1	生姜		
68727.1	麻黄		
68727.1	生姜		
68727.1	桂枝		
68727.1	甘草		
68727.1	大枣		
68727.1	石膏		
68727.1	杏仁		
68402.1	白术		
68402.1	生姜		
68402.1	桂枝		
68402.1	甘草		
68402.1	大枣		
68402.1	茯苓		
64545.1	大枣	12	
64545.1	甘草	2	
64545.1	桂枝	3	
64545.1	芍药		
64545.1	生姜	3	
71946.1	生姜		
71946.1	柴胡		
71946.1	甘草		
71946.1	大枣		
71946.1	黄芩		
71946.1	半夏		
71946.1	人参		
64364.1	大枣	12	
64364.1	甘草	2	
64364.1	桂枝	3	
64364.1	芍药	3	
64364.1	生姜	3	
71364.1	黄连		
71364.1	大黄		
71642.1	麻黄		
71642.1	甘草		
71642.1	石膏		
71642.1	杏仁		
68404.1	麻黄		
68404.1	桂枝		
68404.1	大枣		
68404.1	芍药		
68404.1	生姜		
68404.1	甘草		
68404.1	石膏		
70856.1	生姜		
70856.1	桂枝		
70856.1	甘草		
70856.1	龙骨		
70856.1	大枣		
70856.1	牡蛎		
70856.1	蜀漆		
69093.1	厚朴		
69093.1	生姜		
69093.1	桂枝		
69093.1	甘草		
69093.1	大枣		
69093.1	芍药		
69093.1	杏仁		
71649.1	甘草		
71649.1	石膏		
71649.1	知母		
71649.1	粳米		
71649.1	人参		
73652.1	栀子		
73652.1	淡豆豉		
70596.1	白术		
70596.1	桂枝		
70596.1	茵陈		
70596.1	茯苓		
70596.1	猪苓		
70596.1	泽泻		
71158.1	大黄		
71369.1	黄芩		
71369.1	黄连		
71369.1	大黄		
71369.1	附子		
69284.1	麻黄		
69284.1	桂枝		
69284.1	甘草		
69284.1	杏仁		
71930.1	生姜		
71930.1	甘草		
71930.1	大枣		
71930.1	黄芩		
71930.1	芍药		
71930.1	半夏		
69662.1	麻黄		
69662.1	甘草		
69662.1	石膏		
69662.1	杏仁		
69063.1	麻黄		
69063.1	桂枝		
69063.1	大枣		
69063.1	芍药		
69063.1	生姜		
69063.1	杏仁		
69063.1	甘草		
71505.1	甘遂		
71505.1	大黄		
71505.1	芒硝		
