Herb1	Herb2	Co_ratio	Herb_pair	pValue	Event_ratio	Co_event	Ex_event	Total_event	Co_level	Prob_1to2	Prob_2to1
香附	柴胡	0.333333333333333	柴胡, 香附	3.02119468884076e-07	10/20	10	20	30	4	0.833333333333333	0.357142857142857
黄芩	黄芪	0.0610687022900763	黄芪, 黄芩	4.87032187612777e-07	8/123	8	123	131	0	0.275862068965517	0.0727272727272727
钩藤	黄芪	0.103703703703704	钩藤, 黄芪	9.72937826538271e-07	14/121	14	121	135	1	0.358974358974359	0.127272727272727
薤白	瓜蒌	0.352941176470588	瓜蒌, 薤白	2.49777592437461e-06	6/11	6	11	17	4	0.857142857142857	0.375
土鳖虫	蝉蜕	0.571428571428571	蝉蜕, 土鳖虫	2.82306811159386e-06	4/3	4	3	7	4	0.8	0.666666666666667
青蒿	麦冬	0.296296296296296	麦冬, 青蒿	3.43562128928642e-06	24/57	24	57	81	4	0.888888888888889	0.307692307692308
何首乌	甘草	0.0354609929078014	甘草, 何首乌	4.10430578438842e-06	5/136	5	136	141	0	0.3125	0.0384615384615385
山楂	甘草	0.0354609929078014	甘草, 山楂	4.10430578438842e-06	5/136	5	136	141	0	0.3125	0.0384615384615385
淫羊藿	黄柏	0.35	黄柏, 淫羊藿	4.19108218347496e-06	7/13	7	13	20	4	0.7	0.411764705882353
海螵蛸	蒲公英	0.307692307692308	海螵蛸, 蒲公英	6.8791400856965e-06	8/18	8	18	26	4	0.727272727272727	0.347826086956522
丹皮	黄芪	0.0396825396825397	丹皮, 黄芪	6.91424702903899e-06	5/121	5	121	126	0	0.238095238095238	0.0454545454545455
猪苓	冬瓜皮	0.5	冬瓜皮, 猪苓	8.38191240754696e-06	4/4	4	4	8	4	0.666666666666667	0.666666666666667
酸枣仁	夜交藤	0.253521126760563	酸枣仁, 夜交藤	9.74126904157729e-06	18/53	18	53	71	4	0.260869565217391	0.9
常山	苦参	0.333333333333333	常山, 苦参	1.02157410212077e-05	8/16	8	16	24	4	0.571428571428571	0.444444444444444
黄芩	钩藤	0.333333333333333	钩藤, 黄芩	1.09034309312356e-05	17/34	17	34	51	4	0.586206896551724	0.435897435897436
白术	麦冬	0.0471698113207547	白术, 麦冬	1.10782457225408e-05	5/101	5	101	106	0	0.151515151515152	0.0641025641025641
茯苓	麦冬	0.1640625	茯苓, 麦冬	1.64112275070333e-05	21/107	21	107	128	2	0.295774647887324	0.269230769230769
三七	冰片	0.333333333333333	冰片, 三七	1.76921890463518e-05	22/44	22	44	66	4	0.392857142857143	0.6875
钩藤	甘草	0.149659863945578	甘草, 钩藤	2.12256973879685e-05	22/125	22	125	147	1	0.564102564102564	0.169230769230769
茯苓	野葛根	0.132231404958678	茯苓, 野葛根	2.22016513727875e-05	16/105	16	105	121	1	0.225352112676056	0.242424242424242
五味子	甘草	0.503759398496241	甘草, 五味子	2.42456672699381e-05	67/66	67	66	133	4	0.957142857142857	0.515384615384615
陈皮	半夏	0.227272727272727	半夏, 陈皮	2.77207447300477e-05	10/34	10	34	44	3	0.833333333333333	0.238095238095238
水蛭	延胡索	0.337662337662338	水蛭, 延胡索	3.00004854961726e-05	26/51	26	51	77	4	0.742857142857143	0.382352941176471
麦冬	半夏	0.0810810810810811	半夏, 麦冬	3.31920036399068e-05	9/102	9	102	111	0	0.115384615384615	0.214285714285714
党参	茯苓	0.256756756756757	党参, 茯苓	3.36920438467246e-05	19/55	19	55	74	4	0.863636363636364	0.267605633802817
半枝莲	土鳖虫	0.363636363636364	半枝莲, 土鳖虫	3.87038249910742e-05	4/7	4	7	11	4	0.4	0.8
白芍	桂枝	0.303030303030303	白芍, 桂枝	4.00543191213759e-05	10/23	10	23	33	4	0.5	0.434782608695652
冰片	延胡索	0.315789473684211	冰片, 延胡索	4.42907048021514e-05	24/52	24	52	76	4	0.75	0.352941176470588
泽泻	甘草	0.208053691275168	甘草, 泽泻	5.95329553009278e-05	31/118	31	118	149	3	0.62	0.238461538461538
白术	茯苓	0.316455696202532	白术, 茯苓	6.04941276620617e-05	25/54	25	54	79	4	0.757575757575758	0.352112676056338
生姜	麦冬	0.0105263157894737	麦冬, 生姜	6.80076216619569e-05	1/94	1	94	95	0	0.0555555555555556	0.0128205128205128
丹皮	钩藤	0.276595744680851	丹皮, 钩藤	8.71653644795225e-05	13/34	13	34	47	4	0.619047619047619	0.333333333333333
水蛭	川芎	0.309278350515464	川芎, 水蛭	9.40920040790255e-05	30/67	30	67	97	4	0.857142857142857	0.326086956521739
常山	五味子	0.183098591549296	常山, 五味子	9.70125252481807e-05	13/58	13	58	71	2	0.928571428571429	0.185714285714286
五味子	延胡索	0.4375	五味子, 延胡索	0.000102352292669717	42/54	42	54	96	4	0.6	0.617647058823529
蝉蜕	半枝莲	0.333333333333333	半枝莲, 蝉蜕	0.000112524484536262	4/8	4	8	12	4	0.666666666666667	0.4
决明子	泽泻	0.176470588235294	决明子, 泽泻	0.000125709691978891	9/42	9	42	51	2	0.9	0.18
枸杞子	何首乌	0.285714285714286	枸杞子, 何首乌	0.000130759928954444	6/15	6	15	21	4	0.545454545454545	0.375
水蛭	黄芪	0.294642857142857	黄芪, 水蛭	0.000132377741416113	33/79	33	79	112	4	0.942857142857143	0.3
莪术	连翘	0.210526315789474	莪术, 连翘	0.000147408037312945	4/15	4	15	19	3	1	0.210526315789474
三七	黄芪	0.418803418803419	黄芪, 三七	0.000147468941974555	49/68	49	68	117	4	0.875	0.445454545454545
半夏	生姜	0.25	半夏, 生姜	0.000151297484962884	12/36	12	36	48	4	0.285714285714286	0.666666666666667
白术	五味子	0.0510204081632653	白术, 五味子	0.000156157265739229	5/93	5	93	98	0	0.151515151515152	0.0714285714285714
女贞子	甘草	0	甘草, 女贞子	0.000173706452638513	0/135	0	135	135	-4	0	0
何首乌	泽泻	0.222222222222222	何首乌, 泽泻	0.000192939214973017	12/42	12	42	54	3	0.75	0.24
半夏	柴胡	0.296296296296296	半夏, 柴胡	0.000197946799615425	16/38	16	38	54	4	0.380952380952381	0.571428571428571
半枝莲	连翘	0.260869565217391	半枝莲, 连翘	0.00019870676727994	6/17	6	17	23	4	0.6	0.315789473684211
延胡索	麦冬	0.445544554455446	麦冬, 延胡索	0.000214114863505772	45/56	45	56	101	4	0.661764705882353	0.576923076923077
菊花	黄芪	0	黄芪, 菊花	0.000214228544881472	0/117	0	117	117	-4	0	0
钩藤	麦冬	0.0833333333333333	钩藤, 麦冬	0.000222037326621934	9/99	9	99	108	0	0.230769230769231	0.115384615384615
桑白皮	北沙参	0.666666666666667	北沙参, 桑白皮	0.000235849056603773	2/1	2	1	3	4	1	0.666666666666667
瓦楞子	小茴香	0.666666666666667	瓦楞子, 小茴香	0.000235849056603773	2/1	2	1	3	4	1	0.666666666666667
瓦楞子	沉香	0.666666666666667	沉香, 瓦楞子	0.000235849056603773	2/1	2	1	3	4	1	0.666666666666667
半枝莲	罂粟壳	0.307692307692308	半枝莲, 罂粟壳	0.000254413544441299	4/9	4	9	13	4	0.4	0.571428571428571
黄精	太子参	0.375	黄精, 太子参	0.000290030023402503	3/5	3	5	8	4	0.5	0.6
黄连	常山	0.153846153846154	常山, 黄连	0.000311857822633355	14/77	14	77	91	2	0.153846153846154	1
黄芩	五味子	0.0421052631578947	黄芩, 五味子	0.000319595084296742	4/91	4	91	95	0	0.137931034482759	0.0571428571428571
陈皮	远志	0.25	陈皮, 远志	0.000328397420587533	3/9	3	9	12	4	0.25	1
半夏	香附	0.2	半夏, 香附	0.000336821958322336	9/36	9	36	45	3	0.214285714285714	0.75
甘草	决明子	0.0218978102189781	甘草, 决明子	0.000342690327804798	3/134	3	134	137	0	0.0230769230769231	0.3
砂仁	茯苓	0.428571428571429	茯苓, 砂仁	0.00037797230409691	42/56	42	56	98	4	0.608695652173913	0.591549295774648
菊花	枸杞子	0.285714285714286	枸杞子, 菊花	0.000393464823148235	4/10	4	10	14	4	0.571428571428571	0.363636363636364
土鳖虫	水蛭	0.142857142857143	水蛭, 土鳖虫	0.00039570736062303	5/30	5	30	35	1	1	0.142857142857143
党参	延胡索	0.0227272727272727	党参, 延胡索	0.000413526856802203	2/86	2	86	88	0	0.0909090909090909	0.0294117647058824
生地	黄精	0.185185185185185	黄精, 生地	0.000426774950732719	5/22	5	22	27	2	0.192307692307692	0.833333333333333
紫苏叶	厚朴	0.217391304347826	厚朴, 紫苏叶	0.000435014568719815	5/18	5	18	23	3	0.714285714285714	0.238095238095238
生地	麦冬	0.253012048192771	麦冬, 生地	0.000444887597820587	21/62	21	62	83	4	0.807692307692308	0.269230769230769
罂粟壳	水蛭	0.166666666666667	水蛭, 罂粟壳	0.000449584567243259	6/30	6	30	36	2	0.857142857142857	0.171428571428571
麦冬	常山	0.164556962025316	常山, 麦冬	0.000462839763748372	13/66	13	66	79	2	0.166666666666667	0.928571428571429
白芍	泽泻	0	白芍, 泽泻	0.000466042969113203	0/70	0	70	70	-4	0	0
桑寄生	山药	0.5	桑寄生, 山药	0.000471698113207547	2/2	2	2	4	4	0.5	1
阿胶	山药	0.5	阿胶, 山药	0.000471698113207547	2/2	2	2	4	4	0.5	1
莱菔子	瓦楞子	0.5	莱菔子, 瓦楞子	0.000471698113207547	2/2	2	2	4	4	0.5	1
麦冬	甘草	0.529411764705882	甘草, 麦冬	0.000492443562558483	72/64	72	64	136	4	0.923076923076923	0.553846153846154
白术	干姜	0.230769230769231	白术, 干姜	0.000502289769053559	9/30	9	30	39	3	0.272727272727273	0.6
砂仁	干姜	0.183098591549296	干姜, 砂仁	0.000508365365555472	13/58	13	58	71	2	0.188405797101449	0.866666666666667
枸杞子	黄芪	0.0168067226890756	枸杞子, 黄芪	0.000522009220504808	2/117	2	117	119	0	0.181818181818182	0.0181818181818182
生姜	石菖蒲	0.25	生姜, 石菖蒲	0.000532210070565621	6/18	6	18	24	4	0.333333333333333	0.5
生姜	香附	0.25	生姜, 香附	0.000532210070565621	6/18	6	18	24	4	0.333333333333333	0.5
泽泻	丹皮	0.245614035087719	丹皮, 泽泻	0.000564346913009504	14/43	14	43	57	3	0.28	0.666666666666667
黄连	苦参	0.184782608695652	黄连, 苦参	0.000590290885738686	17/75	17	75	92	2	0.186813186813187	0.944444444444444
干姜	麦冬	0.0108695652173913	干姜, 麦冬	0.000602189245062928	1/91	1	91	92	0	0.0666666666666667	0.0128205128205128
生姜	茯苓	0.202702702702703	茯苓, 生姜	0.000637661282030019	15/59	15	59	74	3	0.833333333333333	0.211267605633803
茯苓	干姜	0.178082191780822	茯苓, 干姜	0.000642954274903286	13/60	13	60	73	2	0.183098591549296	0.866666666666667
小茴香	干姜	0.2	干姜, 小茴香	0.000679185574396941	3/12	3	12	15	3	1	0.2
沉香	小茴香	0.5	沉香, 小茴香	0.00070456173871507	2/2	2	2	4	4	0.666666666666667	0.666666666666667
生姜	柴胡	0.243243243243243	柴胡, 生姜	0.000739866568077052	9/28	9	28	37	3	0.5	0.321428571428571
人参	黄芪	0.216216216216216	黄芪, 人参	0.000743593023035385	24/87	24	87	111	3	0.96	0.218181818181818
冬瓜皮	泽泻	0.12	冬瓜皮, 泽泻	0.000749799907085151	6/44	6	44	50	1	1	0.12
猪苓	泽泻	0.12	泽泻, 猪苓	0.000749799907085151	6/44	6	44	50	1	1	0.12
党参	川芎	0.0458715596330275	川芎, 党参	0.000778100281216806	5/104	5	104	109	0	0.227272727272727	0.0543478260869565
黄芩	丹皮	0.25	丹皮, 黄芩	0.000780243009281702	10/30	10	30	40	4	0.344827586206897	0.476190476190476
生龙骨	牡蛎	0.4	牡蛎, 生龙骨	0.000786163522012579	2/3	2	3	5	4	1	0.4
百合	红花	0.4	百合, 红花	0.000786163522012579	2/3	2	3	5	4	1	0.4
枸杞子	甘草	0.0291970802919708	甘草, 枸杞子	0.000817235550441392	4/133	4	133	137	0	0.363636363636364	0.0307692307692308
泽泻	黄芪	0.185185185185185	黄芪, 泽泻	0.000862756751218036	25/110	25	110	135	2	0.5	0.227272727272727
水蛭	大黄	0.288135593220339	大黄, 水蛭	0.000866323738814666	17/42	17	42	59	4	0.485714285714286	0.414634146341463
麦冬	黄芩	0.0594059405940594	黄芩, 麦冬	0.000901165741836556	6/95	6	95	101	0	0.0769230769230769	0.206896551724138
土鳖虫	大黄	0.121951219512195	大黄, 土鳖虫	0.000913472192008728	5/36	5	36	41	1	1	0.121951219512195
重楼	杏仁	0.25	杏仁, 重楼	0.000947541602077401	3/9	3	9	12	4	0.75	0.272727272727273
桑寄生	枸杞子	0.25	枸杞子, 桑寄生	0.000947541602077401	3/9	3	9	12	4	0.75	0.272727272727273
水蛭	茯苓	0.0707070707070707	茯苓, 水蛭	0.00101123784147834	7/92	7	92	99	0	0.2	0.0985915492957746
枳壳	沉香	0.176470588235294	沉香, 枳壳	0.0010150465727251	3/14	3	14	17	2	0.176470588235294	1
女贞子	丹皮	0.181818181818182	丹皮, 女贞子	0.00103885981047471	4/18	4	18	22	2	0.8	0.19047619047619
山楂	五味子	0.0117647058823529	山楂, 五味子	0.00104970730677575	1/84	1	84	85	0	0.0625	0.0142857142857143
丹皮	甘草	0.0785714285714286	丹皮, 甘草	0.00108352430811975	11/129	11	129	140	0	0.523809523809524	0.0846153846153846
丹参	野葛根	0.153846153846154	丹参, 野葛根	0.00110390044035225	18/99	18	99	117	2	0.260869565217391	0.272727272727273
山药	黄精	0.333333333333333	黄精, 山药	0.00117924528301887	2/4	2	4	6	4	1	0.333333333333333
沉香	生姜	0.166666666666667	沉香, 生姜	0.00121805588727012	3/15	3	15	18	2	1	0.166666666666667
钩藤	桂枝	0	钩藤, 桂枝	0.00124919004228002	0/62	0	62	62	-4	0	0
延胡索	茯苓	0.168067226890756	茯苓, 延胡索	0.00127434500013099	20/99	20	99	119	2	0.294117647058824	0.28169014084507
野葛根	三七	0.370786516853933	三七, 野葛根	0.00129108824201188	33/56	33	56	89	4	0.5	0.589285714285714
野葛根	钩藤	0.3125	钩藤, 野葛根	0.00131824363928724	25/55	25	55	80	4	0.378787878787879	0.641025641025641
黄芩	甘草	0.119718309859155	甘草, 黄芩	0.0013960508638626	17/125	17	125	142	1	0.586206896551724	0.130769230769231
牛膝	桑寄生	0.4	牛膝, 桑寄生	0.00140315261523764	2/3	2	3	5	4	0.666666666666667	0.5
小茴香	莱菔子	0.4	莱菔子, 小茴香	0.00140315261523764	2/3	2	3	5	4	0.666666666666667	0.5
沉香	莱菔子	0.4	沉香, 莱菔子	0.00140315261523764	2/3	2	3	5	4	0.666666666666667	0.5
猪苓	生姜	0.2	生姜, 猪苓	0.00150372754270786	4/16	4	16	20	3	0.666666666666667	0.222222222222222
野葛根	人参	0.0340909090909091	人参, 野葛根	0.00151034469346653	3/85	3	85	88	0	0.0454545454545455	0.12
泽泻	柴胡	0.0263157894736842	柴胡, 泽泻	0.00157081802093266	2/74	2	74	76	0	0.04	0.0714285714285714
水蛭	野葛根	0.294871794871795	水蛭, 野葛根	0.00161302251158228	23/55	23	55	78	4	0.657142857142857	0.348484848484849
淫羊藿	当归	0.119047619047619	当归, 淫羊藿	0.00163389302528497	10/74	10	74	84	1	1	0.119047619047619
赤芍	山药	0.285714285714286	赤芍, 山药	0.00165094339622641	2/5	2	5	7	4	0.285714285714286	1
川贝母	桑白皮	0.285714285714286	川贝母, 桑白皮	0.00165094339622641	2/5	2	5	7	4	0.285714285714286	1
白及	瓦楞子	0.285714285714286	白及, 瓦楞子	0.00165094339622641	2/5	2	5	7	4	0.285714285714286	1
薏苡仁	瓦楞子	0.285714285714286	瓦楞子, 薏苡仁	0.00165094339622641	2/5	2	5	7	4	0.285714285714286	1
连翘	水蛭	0.227272727272727	连翘, 水蛭	0.00165128801565783	10/34	10	34	44	3	0.526315789473684	0.285714285714286
牡蛎	淫羊藿	0.25	牡蛎, 淫羊藿	0.00167330414349167	3/9	3	9	12	4	0.6	0.3
冰片	水蛭	0.264150943396226	冰片, 水蛭	0.0016741402443729	14/39	14	39	53	4	0.4375	0.4
独活	白芍	0.15	白芍, 独活	0.00170169572486267	3/17	3	17	20	2	1	0.15
黄芩	黄连	0.25	黄连, 黄芩	0.00177907120531168	24/72	24	72	96	4	0.827586206896552	0.263736263736264
野葛根	延胡索	0.395833333333333	延胡索, 野葛根	0.00192030810010384	38/58	38	58	96	4	0.575757575757576	0.558823529411765
柴胡	紫苏叶	0.166666666666667	柴胡, 紫苏叶	0.00193166654308646	5/25	5	25	30	2	0.178571428571429	0.714285714285714
莪术	水蛭	0.114285714285714	莪术, 水蛭	0.00199130155668364	4/31	4	31	35	1	1	0.114285714285714
薏苡仁	槟榔	0.210526315789474	槟榔, 薏苡仁	0.00200128775315928	4/15	4	15	19	3	0.571428571428571	0.25
延胡索	罂粟壳	0.102941176470588	延胡索, 罂粟壳	0.00207922915788785	7/61	7	61	68	1	0.102941176470588	1
枸杞子	决明子	0.235294117647059	枸杞子, 决明子	0.00211199908156553	4/13	4	13	17	3	0.363636363636364	0.4
延胡索	半枝莲	0.130434782608696	半枝莲, 延胡索	0.00212155437912889	9/60	9	60	69	1	0.132352941176471	0.9
人参	僵蚕	0.153846153846154	僵蚕, 人参	0.00214640940256624	4/22	4	22	26	2	0.16	0.8
羌活	独活	0.136363636363636	独活, 羌活	0.00229878194411273	3/19	3	19	22	1	0.136363636363636	1
冰片	川芎	0.26530612244898	冰片, 川芎	0.00251824298864166	26/72	26	72	98	4	0.8125	0.282608695652174
生地	太子参	0.148148148148148	生地, 太子参	0.00252208711931633	4/23	4	23	27	1	0.153846153846154	0.8
枸杞子	五味子	0	枸杞子, 五味子	0.00256280444351426	0/81	0	81	81	-4	0	0
薏苡仁	枳壳	0.2	薏苡仁, 枳壳	0.00257442672975522	4/16	4	16	20	3	0.571428571428571	0.235294117647059
女贞子	黄芪	0	黄芪, 女贞子	0.00258264412440441	0/115	0	115	115	-4	0	0
女贞子	泽泻	0.1	女贞子, 泽泻	0.00258264412440441	5/45	5	45	50	1	1	0.1
三七	水蛭	0.28169014084507	三七, 水蛭	0.00263115978392292	20/51	20	51	71	4	0.357142857142857	0.571428571428571
延胡索	枸杞子	0	枸杞子, 延胡索	0.00264544200758107	0/79	0	79	79	-4	0	0
青蒿	黄芪	0.223214285714286	黄芪, 青蒿	0.00265950435220487	25/87	25	87	112	3	0.925925925925926	0.227272727272727
干姜	人参	0.212121212121212	干姜, 人参	0.00274775220398542	7/26	7	26	33	3	0.466666666666667	0.28
阿胶	桑寄生	0.333333333333333	阿胶, 桑寄生	0.00278253587461342	2/4	2	4	6	4	0.5	0.5
钩藤	五味子	0.09	钩藤, 五味子	0.00295547946742439	9/91	9	91	100	0	0.230769230769231	0.128571428571429
土鳖虫	香附	0.214285714285714	土鳖虫, 香附	0.0030073866674187	3/11	3	11	14	3	0.6	0.25
厚朴	柴胡	0.225	柴胡, 厚朴	0.00306356773041876	9/31	9	31	40	3	0.428571428571429	0.321428571428571
冰片	半夏	0.0277777777777778	半夏, 冰片	0.00310471746104528	2/70	2	70	72	0	0.0625	0.0476190476190476
白术	大黄	0.0277777777777778	白术, 大黄	0.00312068909672412	2/70	2	70	72	0	0.0606060606060606	0.0487804878048781
蒺藜	钩藤	0.102564102564103	钩藤, 蒺藜	0.00312808526239087	4/35	4	35	39	1	1	0.102564102564103
钩藤	栀子	0.181818181818182	钩藤, 栀子	0.00324546103076936	8/36	8	36	44	2	0.205128205128205	0.615384615384615
砂仁	野葛根	0.163793103448276	砂仁, 野葛根	0.00336310539705641	19/97	19	97	116	2	0.27536231884058	0.287878787878788
冬瓜皮	党参	0.166666666666667	党参, 冬瓜皮	0.00343776370773255	4/20	4	20	24	2	0.666666666666667	0.181818181818182
槟榔	苦参	0.214285714285714	槟榔, 苦参	0.00346727154558287	6/22	6	22	28	3	0.375	0.333333333333333
当归	枳壳	0.0306122448979592	当归, 枳壳	0.00359567117629449	3/95	3	95	98	0	0.0357142857142857	0.176470588235294
麦冬	水蛭	0.284090909090909	麦冬, 水蛭	0.00371896723764482	25/63	25	63	88	4	0.320512820512821	0.714285714285714
陈皮	枳壳	0.208333333333333	陈皮, 枳壳	0.00372672726706865	5/19	5	19	24	3	0.416666666666667	0.294117647058824
栀子	黄芪	0.0336134453781513	黄芪, 栀子	0.00385968079840919	4/115	4	115	119	0	0.307692307692308	0.0363636363636364
天麻	野葛根	0.0909090909090909	天麻, 野葛根	0.00428715511615419	6/60	6	60	66	0	1	0.0909090909090909
枸杞子	山药	0.181818181818182	枸杞子, 山药	0.00432389937106918	2/9	2	9	11	2	0.181818181818182	1
杜仲	怀牛膝	0.181818181818182	杜仲, 怀牛膝	0.00432389937106918	2/9	2	9	11	2	0.181818181818182	1
杏仁	桑白皮	0.181818181818182	桑白皮, 杏仁	0.00432389937106918	2/9	2	9	11	2	0.181818181818182	1
杏仁	细辛	0.181818181818182	细辛, 杏仁	0.00432389937106918	2/9	2	9	11	2	0.181818181818182	1
水蛭	党参	0	党参, 水蛭	0.00435169766334929	0/57	0	57	57	-4	0	0
黄精	杏仁	0.214285714285714	黄精, 杏仁	0.00438125685177929	3/11	3	11	14	3	0.5	0.272727272727273
玄参	大黄	0.119047619047619	大黄, 玄参	0.00442002673552612	5/37	5	37	42	1	0.833333333333333	0.121951219512195
干姜	野葛根	0.0125	干姜, 野葛根	0.00446430677690869	1/79	1	79	80	0	0.0666666666666667	0.0151515151515152
砂仁	党参	0.213333333333333	党参, 砂仁	0.00449418954908394	16/59	16	59	75	3	0.231884057971014	0.727272727272727
莱菔子	生姜	0.157894736842105	莱菔子, 生姜	0.0045230992501814	3/16	3	16	19	2	0.75	0.166666666666667
紫石英	青蒿	0.2	青蒿, 紫石英	0.00457835322468529	7/28	7	28	35	3	0.466666666666667	0.259259259259259
五味子	紫石英	0.164383561643836	五味子, 紫石英	0.00476919130686421	12/61	12	61	73	2	0.171428571428571	0.8
北沙参	川贝母	0.25	北沙参, 川贝母	0.00484834010031049	2/6	2	6	8	4	0.666666666666667	0.285714285714286
熟地	柏子仁	0.25	柏子仁, 熟地	0.00484834010031049	2/6	2	6	8	4	0.666666666666667	0.285714285714286
小茴香	白及	0.25	白及, 小茴香	0.00484834010031049	2/6	2	6	8	4	0.666666666666667	0.285714285714286
沉香	白及	0.25	白及, 沉香	0.00484834010031049	2/6	2	6	8	4	0.666666666666667	0.285714285714286
小茴香	薏苡仁	0.25	小茴香, 薏苡仁	0.00484834010031049	2/6	2	6	8	4	0.666666666666667	0.285714285714286
沉香	薏苡仁	0.25	沉香, 薏苡仁	0.00484834010031049	2/6	2	6	8	4	0.666666666666667	0.285714285714286
沉香	柴胡	0.107142857142857	柴胡, 沉香	0.00489013613565799	3/25	3	25	28	1	1	0.107142857142857
黄连	钩藤	0.3	钩藤, 黄连	0.00492611288154001	30/70	30	70	100	4	0.32967032967033	0.769230769230769
砂仁	钩藤	0.0909090909090909	钩藤, 砂仁	0.00492611288154001	9/90	9	90	99	0	0.130434782608696	0.230769230769231
生姜	陈皮	0.2	陈皮, 生姜	0.00495538772726212	5/20	5	20	25	3	0.277777777777778	0.416666666666667
夜交藤	柏子仁	0.173913043478261	柏子仁, 夜交藤	0.00498632708667177	4/19	4	19	23	2	0.2	0.571428571428571
冰片	茯苓	0.0729166666666667	冰片, 茯苓	0.00501897285907253	7/89	7	89	96	0	0.21875	0.0985915492957746
香附	瓦楞子	0.166666666666667	瓦楞子, 香附	0.00518867924528301	2/10	2	10	12	2	0.166666666666667	1
连翘	重楼	0.15	连翘, 重楼	0.00534354135259425	3/17	3	17	20	2	0.157894736842105	0.75
丹参	冬瓜皮	0.0869565217391304	丹参, 冬瓜皮	0.00565639760156586	6/63	6	63	69	0	0.0869565217391304	1
黄连	猪苓	0	黄连, 猪苓	0.00565639760156586	0/97	0	97	97	-4	0	0
川贝母	麦冬	0.0897435897435897	川贝母, 麦冬	0.0056662586638842	7/71	7	71	78	0	1	0.0897435897435897
蝉蜕	香附	0.2	蝉蜕, 香附	0.00575512703613988	3/12	3	12	15	3	0.5	0.25
大黄	砂仁	0.1	大黄, 砂仁	0.0059253237528991	10/90	10	90	100	1	0.24390243902439	0.144927536231884
石菖蒲	茯苓	0.136986301369863	茯苓, 石菖蒲	0.00593769086491631	10/63	10	63	73	1	0.833333333333333	0.140845070422535
陈皮	茯苓	0.136986301369863	陈皮, 茯苓	0.00593769086491631	10/63	10	63	73	1	0.833333333333333	0.140845070422535
何首乌	野葛根	0.171428571428571	何首乌, 野葛根	0.00608660414668222	12/58	12	58	70	2	0.75	0.181818181818182
茯苓	川芎	0.244274809160305	川芎, 茯苓	0.0061121987706981	32/99	32	99	131	3	0.450704225352113	0.347826086956522
五味子	蒲公英	0.0449438202247191	蒲公英, 五味子	0.00618854765837196	4/85	4	85	89	0	0.0571428571428571	0.173913043478261
桑叶	天花粉	1	桑叶, 天花粉	0.00625	1/0	1	0	1	4	1	1
肉豆蔻	檀香	1	肉豆蔻, 檀香	0.00625	1/0	1	0	1	4	1	1
诃子	檀香	1	诃子, 檀香	0.00625	1/0	1	0	1	4	1	1
芥子	浙贝母	1	芥子, 浙贝母	0.00625	1/0	1	0	1	4	1	1
