Term	P-Value	Type
Signaling pathways regulating pluripotency of stem cells	9.62E-07	other
Epithelial cell signaling in Helicobacter pylori infection	1.02E-06	other
Type I diabetes mellitus	1.04E-06	other
Legionellosis	3.87E-06	other
Asthma	4.51E-06	other
@@TGF-beta signaling pathway	6.64E-05	other
Apoptosis - multiple species	5.93E-06	other
Fc gamma R-mediated phagocytosis	6.36E-06	other
Spliceosome	6.84E-06	other
Viral protein interaction with cytokine and cytokine receptor	9.31E-06	other
African trypanosomiasis	9.83E-06	other
Cell adhesion molecules (CAMs)	1.18E-05	other
Shigellosis	1.20E-05	other
Adipocytokine signaling pathway	1.29E-05	other
Central carbon metabolism in cancer	1.29E-05	other
Glucagon signaling pathway	1.33E-05	other
Ferroptosis	1.39E-05	other
Bile secretion	1.62E-05	other
p53 signaling pathway	1.62E-05	other
Platinum drug resistance	1.75E-05	other
Jak-STAT signaling pathway	2.40E-05	other
Regulation of actin cytoskeleton	2.54E-05	other
AMPK signaling pathway	2.84E-05	other
Salmonella infection	3.45E-05	other
Mineral absorption	4.84E-05	other
Longevity regulating pathway	4.98E-05	other
Cytokine-cytokine receptor interaction	5.18E-05	other
Pathogenic Escherichia coli infection	5.71E-05	other
Viral myocarditis	8.40E-05	other
Circadian rhythm	9.36E-05	other
Mitophagy - animal	0.00012	other
RIG-I-like receptor signaling pathway	0.000166	other
Necroptosis	0.000172	other
Allograft rejection	0.000193	other
Graft-versus-host disease	0.000252	other
Intestinal immune network for IgA production	0.000475	other
@@Inositol phosphate metabolism	0.015782	other
Dilated cardiomyopathy (DCM)	0.00066	other
Hematopoietic cell lineage	0.00069	other
Regulation of lipolysis in adipocytes	0.000715	other
Phosphatidylinositol signaling system	0.000753	other
Herpes simplex virus 1 infection	0.000757	other
NF-kappa B signaling pathway	0.000787	other
Folate biosynthesis	0.001002	other
Collecting duct acid secretion	0.001108	other
Basal cell carcinoma	0.001154	other
Phototransduction	0.00122	other
Inflammatory bowel disease (IBD)	0.001288	other
Adherens junction	0.001841	other
Fructose and mannose metabolism	0.00189	other
Bacterial invasion of epithelial cells	0.002026	other
SNARE interactions in vesicular transport	0.002046	other
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.002325	other
Tyrosine metabolism	0.002383	other
RNA degradation	0.002541	other
Taste transduction	0.003014	other
Vasopressin-regulated water reabsorption	0.004062	other
Ovarian steroidogenesis	0.005399	other
Vibrio cholerae infection	0.005694	other
Autoimmune thyroid disease	0.006638	other
@@Hedgehog signaling pathway	0.279556	other
Lysosome	0.011329	other
Proximal tubule bicarbonate reclamation	0.012495	other
Staphylococcus aureus infection	0.012703	other
Purine metabolism	0.013569	other
Drug metabolism - cytochrome P450	0.014713	other
Butanoate metabolism	0.017718	other
Drug metabolism - other enzymes	0.018639	other
@@Pyruvate metabolism	0.031808	other
Pentose phosphate pathway	0.020024	other
Galactose metabolism	0.021221	other
Antifolate resistance	0.021221	other
Ribosome	0.022825	other
beta-Alanine metabolism	0.023702	other
Protein digestion and absorption	0.02587	other
Hypertrophic cardiomyopathy (HCM)	0.02587	other
"Alanine, aspartate and glutamate metabolism"	0.027634	other
Carbohydrate digestion and absorption	0.039271	other
Caffeine metabolism	0.040143	other
Ether lipid metabolism	0.044034	other
Sphingolipid metabolism	0.044034	other
@@Phenylalanine metabolism	0.11567	other
Cysteine and methionine metabolism	0.047323	other
Malaria	0.047323	other
Cholesterol metabolism	0.049	other
Glutathione metabolism	0.059496	other
@@Arachidonic acid metabolism	0.072609	other
Systemic lupus erythematosus	0.066271	other
Taurine and hypotaurine metabolism	0.078678	other
Metabolism of xenobiotics by cytochrome P450	0.099073	other
Complement and coagulation cascades	0.105514	other
RNA transport	0.107561	other
Chemical carcinogenesis	0.112065	other
Nitrogen metabolism	0.11567	other
ECM-receptor interaction	0.120958	other
mRNA surveillance pathway	0.132306	other
One carbon pool by folate	0.133607	other
Terpenoid backbone biosynthesis	0.145362	other
Glycerophospholipid metabolism	0.146225	other
Histidine metabolism	0.15118	other
Protein export	0.15118	other
alpha-Linolenic acid metabolism	0.162698	other
Ribosome biogenesis in eukaryotes	0.165215	other
Maturity onset diabetes of the young	0.168399	other
@@Nucleotide excision repair	0.279556	other
Linoleic acid metabolism	0.185269	other
Glyoxylate and dicarboxylate metabolism	0.190816	other
Citrate cycle (TCA cycle)	0.190816	other
Autophagy - other	0.201797	other
Base excision repair	0.207232	other
Pentose and glucuronate interconversions	0.21263	other
Propanoate metabolism	0.21263	other
Starch and sucrose metabolism	0.223316	other
DNA replication	0.223316	other
Primary immunodeficiency	0.228605	other
"Glycine, serine and threonine metabolism"	0.244256	other
Fat digestion and absorption	0.249403	other
Porphyrin and chlorophyll metabolism	0.254514	other
Tryptophan metabolism	0.254514	other
Proteasome	0.269641	other
"Valine, leucine and isoleucine degradation"	0.284462	other
Arginine and proline metabolism	0.294176	other
Glycerolipid metabolism	0.345297	other
Cytosolic DNA-sensing pathway	0.354187	other
Retinol metabolism	0.371607	other
PPAR signaling pathway	0.409107	other
Peroxisome	0.436724	other
Olfactory transduction	0.59382	other
Ubiquitin mediated proteolysis	0.610708	other
