ID	cluster	G1	G2	G3	cluster	APC	TP53	KRAS	PIK3CA	KMT2C	KMT2D	ARID1A	RYR1	FBXW7	ASXL1	FAT1	ZFHX3	ATM	PRKDC	AMER1	IGF2R	KMT2A	TCF7L2	FLT1	ACVR2A	SOX9	ERBB4	CREBBP	SMAD4	UBR5	CTNNB1	PREX2	BCL9	CIC	CARD11	POLE	NSD1	ARID1B	NOTCH3	SCN8A	CHD4	KDM5A	GRIN2A	SPEN	BCORL1	EP300	SETD2	PIK3R1	MED12	POLR2A	ALK	ERBB3	GLI1	FANCA	MUC12
P419185	G3	0.146	0.068	0.786	G3	1	2	0	0	1	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0
P547901	G3	0.19	0.104	0.706	G3	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0
P529642	G3	0.212	0.08	0.708	G3	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0
P556946	G3	0.108	0.09	0.802	G3	1	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	2	0	0	2
P459614	G3	0.108	0.282	0.61	G3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3
P576444	G3	0.052	0.15	0.798	G3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
P460108	G3	0.012	0.112	0.876	G3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P534972	G3	0.108	0.082	0.81	G3	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
P434116	G3	0.024	0.254	0.722	G3	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
P427619	G3	0.03	0.268	0.702	G3	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
P466686	G3	0	0.09	0.91	G3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
P446965	G3	0.002	0.106	0.892	G3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
P546151	G3	0.042	0.052	0.906	G3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
P438519	G3	0	0.064	0.936	G3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P440163	G3	0.218	0.078	0.704	G3	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
P461804	G3	0.088	0.034	0.878	G3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P452743	G3	0	0.03	0.97	G3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P437878	G3	0.006	0.272	0.722	G3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P531343	G3	0.088	0.2	0.712	G3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P464042	G2	0.028	0.512	0.46	G3	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P551927	G3	0.102	0.18	0.718	G3	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0
P462261	G3	0.056	0.368	0.576	G3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
P454564	G3	0.076	0.366	0.558	G3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P443631	G1	0.6	0.236	0.164	G1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
P421244	G1	0.74	0.128	0.132	G1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
P435617	G1	0.796	0.08	0.124	G1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
P471944	G1	0.702	0.134	0.164	G1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
P415224	G1	0.858	0.07	0.072	G1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1
P561928	G1	0.706	0.172	0.122	G1	1	1	1	0	0	1	0	3	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1
P497421	G1	0.95	0.024	0.026	G1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0
P423970	G1	0.962	0.008	0.03	G1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1
P504802	G1	0.934	0.022	0.044	G1	0	1	0	1	1	0	1	1	0	1	2	1	0	0	0	1	2	1	1	1	0	0	1	0	2	1	0	1	1	1	1	1	2	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0
P447359	G1	0.868	0.072	0.06	G1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0
P451927	G1	0.814	0.102	0.084	G1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	3
P487910	G1	0.8	0.082	0.118	G1	1	0	1	0	1	1	0	0	0	1	2	1	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1
P444226	G1	0.854	0.078	0.068	G1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
P453025	G1	0.834	0.062	0.104	G1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
P419963	G1	0.93	0.024	0.046	G1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1
P550478	G1	0.95	0.026	0.024	G1	0	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1
P522054	G1	0.86	0.036	0.104	G1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	2	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0
P487075	G1	0.972	0.004	0.024	G1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0
P547810	G1	0.964	0.012	0.024	G1	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	1	2	1	0	1	1	1	1	1
P444392	G2	0.074	0.5	0.426	G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
P486295	G2	0.102	0.532	0.366	G2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
P435264	G2	0.014	0.94	0.046	G2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P445609	G2	0.028	0.764	0.208	G2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
P456557	G2	0.108	0.724	0.168	G2	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
P535198	G2	0.094	0.626	0.28	G2	1	1	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
P467852	G2	0.06	0.788	0.152	G2	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
P509073	G2	0.042	0.756	0.202	G2	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
TCGA-CM-6677-01	G1	0.574	0.092	0.334	G1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3492-01	G1	0.846	0.05	0.104	G1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
TCGA-G4-6302-01	G1	0.81	0.028	0.162	G1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TCGA-D5-6930-01	G1	0.712	0.142	0.146	G1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
TCGA-AD-A5EJ-01	G1	0.834	0.038	0.128	G1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
TCGA-AZ-4681-01	G1	0.536	0.086	0.378	G1	1	1	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-CA-5254-01	G1	0.47	0.176	0.354	G1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TCGA-AA-3522-01	G1	0.648	0.218	0.134	G1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A6-5661-01	G1	0.794	0.076	0.13	G1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
TCGA-CM-4743-01	G1	0.782	0.072	0.146	G1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0
TCGA-CK-5913-01	G1	0.792	0.108	0.1	G1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0
TCGA-CM-5861-01	G1	0.77	0.112	0.118	G1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
TCGA-AA-A022-01	G1	0.83	0.076	0.094	G1	0	0	0	0	1	1	0	0	1	0	0	0	1	3	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
TCGA-A6-2686-01	G1	0.894	0.03	0.076	G1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
TCGA-AA-3947-01	G1	0.916	0.018	0.066	G1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0
TCGA-AD-6889-01	G1	0.886	0.062	0.052	G1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0
TCGA-CK-6746-01	G1	0.878	0.028	0.094	G1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0
TCGA-D5-6928-01	G1	0.876	0.036	0.088	G1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
TCGA-G4-6588-01	G1	0.964	0.008	0.028	G1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0
TCGA-A6-5665-01	G1	0.916	0.028	0.056	G1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
TCGA-AZ-6598-01	G1	0.87	0.024	0.106	G1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
TCGA-F4-6703-01	G1	0.826	0.116	0.058	G1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
TCGA-A6-3809-01	G1	0.818	0.082	0.1	G1	1	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
TCGA-F4-6570-01	G1	0.926	0.038	0.036	G1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TCGA-AM-5821-01	G1	0.86	0.052	0.088	G1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
TCGA-AA-3510-01	G1	0.894	0.046	0.06	G1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
TCGA-WS-AB45-01	G1	0.908	0.022	0.07	G1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	2	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	2	0	0	1	1	0	0
TCGA-AA-3984-01	G1	0.922	0.028	0.05	G1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0
TCGA-NH-A5IV-01	G1	0.856	0.06	0.084	G1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	1	1	1	0	0
TCGA-CA-6718-01	G1	0.926	0.04	0.034	G1	1	1	1	1	1	1	0	1	3	1	3	0	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0
TCGA-AA-A00N-01	G1	0.938	0.026	0.036	G1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0
TCGA-CA-6717-01	G1	0.932	0.022	0.046	G1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0
TCGA-AZ-4315-01	G1	0.976	0.01	0.014	G1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0
TCGA-AA-A010-01	G1	0.972	0.014	0.014	G1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0
TCGA-F5-6814-01	G1	0.98	0.002	0.018	G1	1	1	0	1	1	0	1	1	1	1	3	1	1	1	1	1	0	0	1	3	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0
TCGA-A6-6780-01	G1	0.94	0.04	0.02	G1	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
TCGA-AA-3663-01	G1	0.88	0.066	0.054	G1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TCGA-D5-6529-01	G2	0.026	0.878	0.096	G2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D5-6927-01	G2	0.068	0.784	0.148	G2	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-NH-A50T-01	G2	0.012	0.504	0.484	G2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3489-01	G2	0.058	0.64	0.302	G2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DM-A280-01	G2	0.038	0.892	0.07	G2	3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DM-A28C-01	G2	0.042	0.56	0.398	G2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DM-A0X9-01	G2	0.062	0.856	0.082	G2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CM-6168-01	G2	0.056	0.848	0.096	G2	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-G4-6304-01	G2	0.106	0.83	0.064	G2	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
